iter	RMSE
0	1.480633759
1	1.463535148
2	1.447472938
3	1.432380526
4	1.41818047
5	1.404950609
6	1.392687254
7	1.381324086
8	1.37043223
9	1.360164434
10	1.350674991
11	1.341935565
12	1.333796217
13	1.325971553
14	1.318530891
15	1.311712116
16	1.305358765
17	1.299425699
18	1.293856366
19	1.288582038
20	1.283670397
21	1.279270313
22	1.275189876
23	1.271195931
24	1.267503394
25	1.26402656
26	1.260810963
27	1.257919618
28	1.255020409
29	1.252361852
30	1.24990808
31	1.247557039
32	1.245360298
33	1.243227585
34	1.241268505
35	1.239521339
36	1.237775963
37	1.236127913
38	1.234580135
39	1.233023117
40	1.231399755
41	1.229948753
42	1.228797541
43	1.227629001
44	1.22651155
45	1.225509433
46	1.224437837
47	1.223497166
48	1.222569056
49	1.221549226
50	1.220705865
51	1.219910502
52	1.219126521
53	1.21827533
54	1.217531898
55	1.216845551
56	1.216116301
57	1.215492082
58	1.214847244
59	1.214235613
60	1.213653013
61	1.213111121
62	1.21244702
63	1.211831526
64	1.211225842
65	1.210567757
66	1.210071425
67	1.209454549
68	1.208908024
69	1.208374654
70	1.207963104
71	1.207381594
72	1.206894991
73	1.20627662
74	1.205862331
75	1.205442272
76	1.205115557
77	1.204718747
78	1.204127808
79	1.20372518
80	1.203206987
81	1.202534774
82	1.20199849
83	1.20154738
84	1.201054699
85	1.200587756
86	1.20029622
87	1.200025506
88	1.199614199
89	1.199235958
90	1.198820185
91	1.198318212
92	1.197937843
93	1.197377581
94	1.197016716
95	1.196566381
96	1.196204629
97	1.1958273
98	1.195528339
99	1.195240525
100	1.19488164
101	1.194505434
102	1.194168207
103	1.19372455
104	1.193320319
105	1.192994694
106	1.192626958
107	1.192160063
108	1.191585616
109	1.191195093
110	1.190746656
111	1.190380732
112	1.190066099
113	1.189751656
114	1.189344776
115	1.189086431
116	1.188909099
117	1.188435276
118	1.188137562
119	1.187473111
120	1.187152082
121	1.186910149
122	1.186432194
123	1.185988794
124	1.185668093
125	1.185415481
126	1.184957682
127	1.184503176
128	1.184273987
129	1.183846157
130	1.183526721
131	1.183286328
132	1.182701414
133	1.182464472
134	1.182039735
135	1.181610302
136	1.1810856
137	1.180687713
138	1.180211333
139	1.179695541
140	1.179351231
141	1.179135691
142	1.178913289
143	1.178193906
144	1.177894558
145	1.177376354
146	1.177009516
147	1.176719768
148	1.176336744
149	1.175813179
150	1.17548797
151	1.175191632
152	1.17481964
153	1.174397156
154	1.174062349
155	1.173781482
156	1.173542974
157	1.173285093
158	1.172969866
159	1.172612076
160	1.172373357
161	1.172191952
162	1.171976618
163	1.17155077
164	1.171335419
165	1.171097923
166	1.170940517
167	1.17064977
168	1.170430455
169	1.170086405
170	1.169793615
171	1.169556672
172	1.169208454
173	1.168845734
174	1.168551819
175	1.168099113
176	1.167621264
177	1.167329356
178	1.166930619
179	1.166633242
180	1.166178968
181	1.165928947
182	1.165633185
183	1.165196453
184	1.164860411
185	1.164634872
186	1.164468918
187	1.16406297
188	1.163707085
189	1.163541844
190	1.16333671
191	1.163121019
192	1.162891838
193	1.162449668
194	1.16208529
195	1.161857282
196	1.161566389
197	1.161131708
198	1.160753948
199	1.160480145
200	1.16032613
201	1.160094236
202	1.159847501
203	1.15959102
204	1.159336535
205	1.158811196
206	1.158598828
207	1.158388032
208	1.158082952
209	1.157861134
210	1.157698593
211	1.157471918
212	1.15722954
213	1.156884988
214	1.156415025
215	1.156224099
216	1.155944184
217	1.155523449
218	1.1551753
219	1.154699615
220	1.154291527
221	1.153983612
222	1.153779531
223	1.153510091
224	1.153153644
225	1.152929618
226	1.152682755
227	1.152374355
228	1.152063891
229	1.151786244
230	1.151310792
231	1.151123433
232	1.150834038
233	1.150417192
234	1.149961474
235	1.149645622
236	1.149347701
237	1.149120463
238	1.148867782
239	1.14846893
240	1.148248566
241	1.1480048
242	1.147583414
243	1.147355833
244	1.146964973
245	1.146836898
246	1.146495749
247	1.146292458
