iter	Passed	Remaining
0	7	1191
1	13	1112
2	18	1041
3	24	1017
4	30	1005
5	36	990
6	41	978
7	47	975
8	53	961
9	59	964
10	66	964
11	73	976
12	79	971
13	89	1002
14	96	998
15	102	992
16	109	992
17	116	990
18	122	981
19	129	977
20	136	972
21	142	965
22	149	961
23	155	952
24	162	946
25	168	942
26	175	936
27	183	938
28	189	928
29	195	920
30	201	910
31	207	900
32	214	896
33	221	893
34	228	886
35	234	879
36	240	872
37	247	867
38	270	914
39	276	906
40	282	897
41	289	888
42	295	878
43	301	869
44	307	860
45	313	850
46	320	845
47	326	837
48	332	828
49	339	821
50	345	812
51	353	809
52	359	800
53	365	792
54	372	786
55	380	782
56	387	774
57	393	767
58	399	758
59	405	750
60	413	744
61	418	736
62	424	728
63	430	719
64	435	710
65	441	701
66	446	693
67	452	685
68	458	677
69	464	669
70	469	660
71	474	652
72	481	646
73	487	639
74	493	631
75	499	623
76	505	617
77	511	609
78	516	601
79	522	594
80	528	586
81	534	580
82	540	573
83	548	568
84	554	560
85	559	553
86	565	545
87	570	538
88	576	531
89	583	525
90	589	518
91	596	511
92	601	504
93	608	498
94	613	490
95	620	484
96	626	477
97	630	469
98	636	462
99	641	455
100	646	448
101	651	440
102	658	434
103	663	427
104	669	420
105	674	413
106	679	406
107	686	400
108	692	394
109	699	387
110	705	381
111	711	374
112	717	368
113	724	362
114	729	355
115	739	350
116	745	343
117	751	337
118	758	331
119	765	325
120	771	318
121	777	312
122	785	306
123	791	300
124	797	293
125	803	286
126	809	280
127	815	274
128	824	268
129	830	262
130	837	255
131	842	248
132	848	242
133	853	235
134	859	229
135	865	222
136	873	216
137	878	209
138	883	203
139	891	197
140	897	190
141	902	184
142	909	178
143	916	171
144	923	165
145	931	159
146	938	153
147	944	146
148	950	140
149	956	133
150	962	127
151	969	121
152	975	114
153	982	108
154	987	101
155	992	95
156	998	89
157	1003	82
158	1010	76
159	1016	69
160	1024	63
161	1030	57
162	1035	50
163	1042	44
164	1047	38
165	1053	31
166	1058	25
167	1066	19
168	1072	12
169	1078	6
170	1084	0
