feature,importance
steals_l20,6.49382583912323
steals_l20_weighted,6.359359218613578
opp_team_steals_per_game,2.7934220556300815
minutes_played_l5_weighted,2.6083686268839585
star_teammate_ppg,2.1777955125069535
steals_per_36_l20,2.156742450334021
minutes_played_l5,2.1207011055270546
games_in_last_3_days,2.0124599800067426
season_progress,1.748197972986001
is_starter_l5,1.5001069354881849
opp_position_steals_vs_team,1.4292294590107208
defensive_rating_opp,1.3990161365403846
defensive_rating_l5,1.3425732791562288
days_since_asb,1.330439959540214
opp_assists_allowed_to_position,1.2785585878804935
offensive_rating_opp,1.277658399368736
star_teammate_out,1.2600704725861647
minutes_trend,1.236465100952832
minutes_played_l10_weighted,1.1629503180212797
arena_altitude,1.1573323237347395
assists_l5_weighted,1.0508316840737364
position_guard,1.0251409574416528
steals_l10_weighted,1.0160332471899025
days_rest,1.0007921675054245
opp_rebounds_allowed_to_position,0.9659052171982583
steals_l10,0.9604158712518833
blocks_l20_weighted,0.857508615469348
blocks_per_36_l20,0.8138762740836794
tz_difference,0.8035615819988545
assists_l10_weighted,0.7863846459360009
minutes_played_l10,0.7831171373191842
pts_per_ast_l20,0.7495918050456477
rebounds_total_l5_weighted,0.7397315840230888
net_rating_l5,0.7212179725284232
points_l5_weighted,0.7177881305754349
minutes_played_l20_weighted,0.701595368275182
blocks_per_36_l10,0.6859613706891254
games_in_last_7_days,0.6771318368762071
assists_l20_weighted,0.6738252291088501
games_without_star,0.6435026719069405
blocks_l10_weighted,0.6430657884835288
offensive_rating_l10,0.6427554163002855
true_shooting_pct_l20,0.6374064418219846
turnovers_l5_weighted,0.6346632705158299
opp_three_point_pct,0.5924252364143356
assists_l5,0.5799146155080289
rebounds_total_l10,0.5754625728507733
assists_l10,0.5668872983486799
steals_per_36_l10,0.565579981139705
net_rating_l20,0.5607196077145612
steals_l5_weighted,0.5563054475711263
minutes_played_l20,0.5548767630923018
assists_per_36_l20,0.5532519180737372
pace_opp,0.5502754336896777
defensive_rating_l20,0.542163571452264
opp_position_turnovers_vs_team,0.5301621383242094
rebounds_total_per_36_l20,0.5251819429145779
defensive_rating_l10,0.5177858323572542
offensive_rating_team,0.5110435040770238
three_pointers_made_per_36_l20,0.5091622157164097
points_per_36_l10,0.5091040397192461
turnovers_per_36_l20,0.5056922818472189
points_l10_weighted,0.5031862606124996
games_played_season,0.5029172263356313
opp_position_turnovers_overall,0.5022017313963407
ft_pct_l10,0.498789481149067
rebounds_total_l20_weighted,0.49690446500190394
pts_per_ast_l5,0.48982310793662476
usage_rate_l10_weighted,0.4895379845233746
fg_pct_l5,0.48798022739390323
ast_to_ratio_l20,0.4806756656955783
pts_per_fga_l5,0.4775203265773811
turnovers_per_36_l5,0.4762561468055602
blocks_l5,0.45286233250078556
blocks_l20,0.4479046027565906
rebounds_total_l20,0.4453752229492728
points_per_36_l20,0.4384104364438473
ft_pct_l20,0.437170960751413
assists_per_36_l10,0.4338846977778728
turnovers_l10_weighted,0.4279901938094481
pts_per_fga_l10,0.42512372874703597
ast_to_ratio_l10,0.40984958699883245
ft_pct_l5,0.4081658058690814
usage_rate_l5,0.40600870362405955
three_pointers_made_per_36_l10,0.4029793222500573
three_pointers_made_l10_weighted,0.39927646315367604
reb_rate_l20,0.39716497246807464
blocks_l10,0.39590745286684625
steals_per_36_l5,0.3922573223930437
opp_points_allowed_to_position,0.3898943391085856
offensive_rating_l20,0.38786331364159404
turnovers_l5,0.3872057581049349
pace_team,0.38581682859696265
three_pointers_made_per_36_l5,0.377288546426826
rebounds_total_l5,0.37647394673546636
three_pointers_made_l10,0.37371587029934106
ast_to_ratio_l5,0.3675236448017095
three_pct_l20,0.35743338397096436
true_shooting_pct_l5,0.35662857511947343
points_l20,0.35328555904325026
points_l5,0.34917295059024367
net_rating_l10,0.3477943567719601
turnovers_l20_weighted,0.3431152795700636
usage_rate_l10,0.3403269256819939
opp_three_pointers_allowed_to_position,0.3338113381466938
rebounds_total_per_36_l10,0.3331173213281195
turnovers_l20,0.32953071009324947
opp_field_goal_pct,0.3287448594521319
opp_team_turnovers_per_game,0.3237061712729178
assists_l20,0.31863332249275045
points_l10,0.3183630051009845
three_pointers_made_l20_weighted,0.3180259385228249
three_pointers_made_l5,0.31547820459304426
defensive_rating_team,0.31299961922870173
is_starter_l10,0.3115460784747357
reb_rate_l10,0.30986204481018664
assists_per_36_l5,0.30228728380655134
pts_per_ast_l10,0.29996611143993474
fg_pct_l10,0.2979035868141149
fg_pct_l20,0.29495524664200845
steals_l5,0.2938535891273478
usage_rate_l20_weighted,0.28604689389156074
blocks_l5_weighted,0.2841319938531289
pts_per_fga_l20,0.2841005584579762
usage_rate_l20,0.2776660867740896
opp_position_steals_overall,0.2650290120682425
three_pct_l10,0.26109866370156753
games_remaining,0.24941227029165886
turnovers_l10,0.2467903081771085
true_shooting_pct_l10,0.21882807610487312
position_forward,0.21761415236328704
three_pointers_made_l20,0.2155580057642077
points_l20_weighted,0.20792982344048733
reb_rate_l5,0.20665338529055607
turnovers_per_36_l10,0.19476401519017764
consecutive_games,0.18907791152826023
three_pct_l5,0.1873631263200797
rebounds_total_per_36_l5,0.18110724909600015
three_pointers_made_l5_weighted,0.17431409944022525
offensive_rating_l5,0.17082142969852704
opp_blocks_allowed_to_position,0.17068768729847894
points_per_36_l5,0.17000281281238092
blocks_per_36_l5,0.13035275531827298
rebounds_total_l10_weighted,0.1157684135793416
is_well_rested,0.11443710575850273
is_mid_season,0.08455818264416269
usage_rate_l5_weighted,0.0708599694579826
is_back_to_back,0.06914319904452333
is_home,0.05125599314429057
is_late_season,0.04737887469812105
altitude_away,0.04238065542445834
position_center,0.0305229239830677
post_asb_bounce,0.027893692148604078
is_heavy_schedule,0.010930114317124595
east_to_west,0.0
west_to_east,0.0
is_early_season,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
