feature,importance
turnovers_l20,12.396633992899924
turnovers_l20_weighted,12.37608367599903
points_l10_weighted,4.553984417887176
turnovers_l10_weighted,4.195114883206168
turnovers_l10,3.8114333588056004
assists_l5_weighted,3.659313323812214
opp_team_turnovers_per_game,3.314148185018664
assists_l5,2.9279003508571506
net_rating_l5,2.5912035044686577
assists_l20_weighted,2.3540139466896517
minutes_played_l5_weighted,2.2326018870772124
points_l20_weighted,1.7847815123449207
star_teammate_ppg,1.6539632814353815
usage_rate_l20,1.6317649201225861
usage_rate_l5_weighted,1.5969824849597032
assists_l10_weighted,1.467420805689908
star_teammate_out,1.4096952612316616
games_without_star,1.3548939353597078
season_progress,1.2856387693934932
offensive_rating_team,1.2510190597629942
assists_per_36_l5,1.2148423838425255
assists_l10,1.0019150652861306
defensive_rating_team,0.9454961357187214
usage_rate_l20_weighted,0.9451937238146652
minutes_played_l10_weighted,0.8965252190271813
assists_per_36_l10,0.8864120245104207
points_l5,0.8720926289612075
points_l10,0.8227898568403995
games_played_season,0.8025843482116342
rebounds_total_l5_weighted,0.7962411120892002
points_l5_weighted,0.7211702390727501
turnovers_per_36_l20,0.6790109892976103
rebounds_total_l20,0.6751677781787347
rebounds_total_l20_weighted,0.6738339197850889
days_since_asb,0.663606079774287
minutes_played_l5,0.6429535921962045
arena_altitude,0.6261189173002296
turnovers_l5,0.6184538277255482
points_per_36_l5,0.5673691649049409
defensive_rating_opp,0.515377197444677
turnovers_l5_weighted,0.4987521212792509
three_pointers_made_per_36_l5,0.44398490462907
ast_to_ratio_l5,0.40504287436481023
minutes_played_l20,0.3920484271301334
opp_position_turnovers_vs_team,0.38871128490341367
ast_to_ratio_l10,0.38340515956714666
usage_rate_l5,0.3738972193240404
points_per_36_l20,0.37026892742539214
usage_rate_l10_weighted,0.36878229786138733
rebounds_total_l10,0.36541439269411835
opp_position_steals_overall,0.33878543922894044
rebounds_total_l10_weighted,0.32305770337535117
games_in_last_3_days,0.31391681476478883
defensive_rating_l20,0.3123287253003058
three_pct_l10,0.3079644838587929
rebounds_total_l5,0.30542912435710734
three_pct_l20,0.2857591268793858
turnovers_per_36_l10,0.27808016261508955
offensive_rating_opp,0.27345959807035214
blocks_l5,0.27320792292833557
tz_difference,0.2631060291875351
is_starter_l5,0.25962876450371736
pts_per_ast_l20,0.25951049486089783
three_pointers_made_per_36_l10,0.25155507029350405
opp_three_point_pct,0.2479619803866607
defensive_rating_l5,0.24333603457654582
minutes_played_l20_weighted,0.2431283892728083
blocks_l20,0.23010428527830967
turnovers_per_36_l5,0.22698770640297755
games_in_last_7_days,0.22330154304711053
net_rating_l10,0.22173973168181738
days_rest,0.21160167697747806
opp_three_pointers_allowed_to_position,0.20495683967813627
three_pointers_made_l10,0.20139854229080986
offensive_rating_l5,0.20076935913503163
blocks_per_36_l20,0.19799201731420601
