feature,importance
assists_l20_weighted,146
star_teammate_ppg,108
opp_assists_allowed_to_position,72
assists_per_36_l20,61
assists_l20,58
games_played_season,58
defensive_rating_opp,56
minutes_played_l5_weighted,54
assists_l10,54
turnovers_l5_weighted,53
season_progress,51
days_rest,43
points_l5_weighted,43
turnovers_l20,41
minutes_trend,38
pace_opp,37
assists_l5_weighted,36
assists_per_36_l10,36
turnovers_per_36_l20,33
opp_field_goal_pct,32
assists_per_36_l5,32
assists_l10_weighted,31
pts_per_ast_l20,31
offensive_rating_team,31
minutes_played_l5,30
net_rating_l20,30
offensive_rating_opp,29
games_without_star,29
assists_l5,29
ast_to_ratio_l5,28
arena_altitude,28
pts_per_ast_l5,27
turnovers_l10,27
opp_team_steals_per_game,26
ast_to_ratio_l20,25
opp_position_turnovers_overall,25
opp_three_pointers_allowed_to_position,25
turnovers_l10_weighted,25
points_l5,24
opp_three_point_pct,24
star_teammate_out,23
minutes_played_l10,23
games_in_last_7_days,23
opp_points_allowed_to_position,22
fg_pct_l10,21
defensive_rating_team,21
defensive_rating_l5,21
rebounds_total_per_36_l10,20
minutes_played_l20,20
pace_team,19
defensive_rating_l20,19
rebounds_total_per_36_l20,19
points_l10,19
blocks_per_36_l5,19
minutes_played_l10_weighted,19
usage_rate_l20,18
three_pointers_made_l20,17
ft_pct_l5,17
ast_to_ratio_l10,17
ft_pct_l10,17
net_rating_l5,17
turnovers_per_36_l10,17
days_since_asb,17
usage_rate_l10,17
three_pct_l10,17
pts_per_fga_l5,16
rebounds_total_l10,16
blocks_l5_weighted,16
points_l20,16
opp_rebounds_allowed_to_position,16
three_pct_l5,16
steals_per_36_l20,16
opp_position_steals_vs_team,15
games_remaining,15
ft_pct_l20,15
turnovers_l5,15
steals_l10_weighted,15
is_starter_l5,15
true_shooting_pct_l5,14
is_home,14
turnovers_per_36_l5,14
blocks_per_36_l20,14
pts_per_ast_l10,14
usage_rate_l5,14
steals_l20_weighted,14
usage_rate_l20_weighted,14
opp_blocks_allowed_to_position,14
position_guard,14
rebounds_total_per_36_l5,13
three_pointers_made_l5_weighted,13
steals_l5_weighted,13
steals_per_36_l5,13
pts_per_fga_l20,13
offensive_rating_l20,13
opp_position_steals_overall,13
opp_team_turnovers_per_game,12
opp_position_turnovers_vs_team,12
rebounds_total_l20,12
three_pointers_made_l10,12
tz_difference,12
turnovers_l20_weighted,12
defensive_rating_l10,12
steals_per_36_l10,12
true_shooting_pct_l10,12
points_per_36_l10,12
true_shooting_pct_l20,11
steals_l20,11
rebounds_total_l5_weighted,11
offensive_rating_l5,11
usage_rate_l10_weighted,11
fg_pct_l5,11
three_pointers_made_per_36_l5,11
net_rating_l10,11
three_pct_l20,10
points_l10_weighted,10
three_pointers_made_l20_weighted,10
points_per_36_l5,9
is_starter_l10,9
fg_pct_l20,9
pts_per_fga_l10,9
blocks_per_36_l10,8
offensive_rating_l10,8
three_pointers_made_per_36_l20,8
usage_rate_l5_weighted,8
blocks_l20_weighted,7
steals_l5,7
three_pointers_made_per_36_l10,7
rebounds_total_l10_weighted,7
points_l20_weighted,7
rebounds_total_l20_weighted,7
points_per_36_l20,6
steals_l10,5
blocks_l10_weighted,5
consecutive_games,4
minutes_played_l20_weighted,4
blocks_l5,4
rebounds_total_l5,4
blocks_l20,4
blocks_l10,3
three_pointers_made_l5,3
altitude_away,2
three_pointers_made_l10_weighted,2
reb_rate_l10,2
is_back_to_back,1
west_to_east,1
reb_rate_l5,1
games_in_last_3_days,1
reb_rate_l20,1
playoff_games_career,0
position_forward,0
position_center,0
post_asb_bounce,0
playoff_performance_boost,0
east_to_west,0
is_heavy_schedule,0
is_well_rested,0
is_early_season,0
is_mid_season,0
is_late_season,0
is_playoff,0
