feature,importance
blocks_l20,141
blocks_l20_weighted,88
rebounds_total_l5_weighted,86
opp_blocks_allowed_to_position,85
days_since_asb,74
arena_altitude,62
blocks_per_36_l20,61
rebounds_total_per_36_l20,61
rebounds_total_l20_weighted,59
defensive_rating_opp,58
pace_opp,45
days_rest,44
offensive_rating_opp,44
star_teammate_ppg,43
is_starter_l5,39
season_progress,38
rebounds_total_l20,37
opp_rebounds_allowed_to_position,36
minutes_played_l5_weighted,34
rebounds_total_l10_weighted,34
opp_assists_allowed_to_position,34
opp_points_allowed_to_position,33
opp_team_steals_per_game,32
opp_position_steals_vs_team,32
games_played_season,31
minutes_trend,31
opp_position_turnovers_overall,30
fg_pct_l20,30
three_pointers_made_per_36_l20,29
assists_per_36_l20,29
true_shooting_pct_l5,29
steals_l5_weighted,28
pts_per_ast_l20,27
defensive_rating_team,27
opp_position_turnovers_vs_team,27
three_pointers_made_l20,27
blocks_l10_weighted,25
rebounds_total_per_36_l10,25
assists_per_36_l10,25
ast_to_ratio_l20,24
opp_three_pointers_allowed_to_position,24
points_l5_weighted,24
opp_team_turnovers_per_game,23
steals_l20,23
steals_l20_weighted,23
pts_per_ast_l10,23
three_pointers_made_per_36_l10,22
offensive_rating_team,22
pts_per_fga_l5,22
assists_l20,21
steals_per_36_l10,21
games_remaining,20
steals_per_36_l20,19
opp_position_steals_overall,19
opp_field_goal_pct,19
pace_team,19
games_in_last_7_days,18
ft_pct_l20,18
minutes_played_l5,18
turnovers_l20_weighted,18
pts_per_fga_l20,17
minutes_played_l20,17
turnovers_per_36_l20,17
pts_per_ast_l5,17
fg_pct_l5,17
defensive_rating_l20,17
usage_rate_l10_weighted,16
pts_per_fga_l10,16
steals_l10_weighted,16
blocks_l5_weighted,16
true_shooting_pct_l20,15
offensive_rating_l10,15
fg_pct_l10,15
turnovers_per_36_l5,15
rebounds_total_l10,15
points_per_36_l5,15
turnovers_l10_weighted,14
games_without_star,14
three_pointers_made_l20_weighted,14
turnovers_l5_weighted,14
three_pointers_made_per_36_l5,14
assists_l5_weighted,13
turnovers_per_36_l10,13
defensive_rating_l5,13
blocks_per_36_l10,13
turnovers_l20,13
opp_three_point_pct,13
assists_l10,13
points_l20_weighted,13
rebounds_total_l5,13
ft_pct_l10,13
assists_per_36_l5,12
usage_rate_l10,12
three_pointers_made_l5_weighted,12
net_rating_l20,12
three_pct_l20,11
reb_rate_l20,11
usage_rate_l20,11
net_rating_l10,11
is_starter_l10,11
rebounds_total_per_36_l5,11
minutes_played_l10,10
steals_per_36_l5,10
defensive_rating_l10,10
points_l20,10
usage_rate_l20_weighted,10
points_l10_weighted,9
reb_rate_l10,9
points_l5,9
three_pct_l10,9
points_per_36_l20,9
usage_rate_l5_weighted,9
true_shooting_pct_l10,9
usage_rate_l5,8
offensive_rating_l5,8
ft_pct_l5,8
is_home,6
position_guard,6
ast_to_ratio_l10,6
points_l10,6
minutes_played_l10_weighted,6
steals_l10,6
assists_l10_weighted,6
tz_difference,6
east_to_west,6
offensive_rating_l20,6
points_per_36_l10,6
assists_l20_weighted,6
minutes_played_l20_weighted,6
three_pct_l5,5
blocks_l10,5
games_in_last_3_days,5
star_teammate_out,5
ast_to_ratio_l5,5
net_rating_l5,5
consecutive_games,3
blocks_per_36_l5,3
turnovers_l5,3
assists_l5,3
west_to_east,2
steals_l5,2
three_pointers_made_l10_weighted,2
altitude_away,1
reb_rate_l5,1
blocks_l5,1
is_well_rested,1
three_pointers_made_l10,1
position_forward,1
position_center,1
post_asb_bounce,0
three_pointers_made_l5,0
turnovers_l10,0
playoff_games_career,0
is_late_season,0
playoff_performance_boost,0
is_back_to_back,0
is_heavy_schedule,0
is_early_season,0
is_mid_season,0
is_playoff,0
