feature,importance
points_l20_weighted,122
star_teammate_ppg,117
minutes_played_l5_weighted,81
games_played_season,69
usage_rate_l20,64
season_progress,63
days_rest,57
pace_opp,55
points_l20,47
defensive_rating_opp,47
games_without_star,46
usage_rate_l20_weighted,41
opp_field_goal_pct,40
offensive_rating_team,37
points_l5_weighted,36
star_teammate_out,36
three_pct_l20,35
minutes_trend,33
offensive_rating_opp,33
defensive_rating_team,32
usage_rate_l5_weighted,30
three_pct_l10,30
opp_position_turnovers_overall,29
ft_pct_l20,29
games_in_last_7_days,28
points_l10,28
days_since_asb,27
net_rating_l20,27
points_per_36_l20,27
arena_altitude,26
defensive_rating_l5,25
opp_assists_allowed_to_position,24
fg_pct_l10,24
minutes_played_l5,24
opp_team_steals_per_game,24
three_pointers_made_l5_weighted,24
pace_team,23
minutes_played_l10,23
true_shooting_pct_l20,22
blocks_l5_weighted,22
is_starter_l5,22
turnovers_l5_weighted,22
true_shooting_pct_l10,21
ft_pct_l10,21
fg_pct_l5,21
opp_three_point_pct,21
opp_team_turnovers_per_game,21
defensive_rating_l10,20
opp_position_turnovers_vs_team,20
assists_l5_weighted,20
points_l5,20
rebounds_total_l5_weighted,20
pts_per_fga_l5,19
three_pointers_made_l20,19
net_rating_l5,19
defensive_rating_l20,19
minutes_played_l10_weighted,19
true_shooting_pct_l5,18
net_rating_l10,18
ast_to_ratio_l5,18
ast_to_ratio_l10,18
fg_pct_l20,18
rebounds_total_l20,18
rebounds_total_per_36_l5,18
usage_rate_l10_weighted,18
steals_l5_weighted,17
three_pointers_made_l10_weighted,17
points_l10_weighted,16
blocks_per_36_l5,16
three_pointers_made_per_36_l5,16
ft_pct_l5,16
three_pointers_made_l10,16
assists_l20,16
pts_per_ast_l20,16
usage_rate_l5,16
pts_per_ast_l5,16
turnovers_l20,16
points_per_36_l10,15
three_pointers_made_per_36_l10,15
assists_per_36_l10,15
minutes_played_l20_weighted,15
assists_l10,15
turnovers_l10_weighted,15
assists_l5,15
steals_per_36_l20,14
turnovers_l5,14
pts_per_ast_l10,13
pts_per_fga_l20,13
turnovers_l10,13
ast_to_ratio_l20,13
opp_points_allowed_to_position,13
usage_rate_l10,13
is_starter_l10,13
minutes_played_l20,13
three_pointers_made_l20_weighted,13
three_pct_l5,13
steals_per_36_l5,12
blocks_l10,12
pts_per_fga_l10,12
offensive_rating_l20,12
opp_position_steals_vs_team,12
turnovers_per_36_l20,12
points_per_36_l5,11
blocks_l20_weighted,11
opp_rebounds_allowed_to_position,11
turnovers_per_36_l5,11
offensive_rating_l10,11
blocks_per_36_l20,11
rebounds_total_l5,11
assists_per_36_l5,11
steals_l20_weighted,10
steals_l10_weighted,10
opp_three_pointers_allowed_to_position,10
rebounds_total_per_36_l20,10
opp_position_steals_overall,10
offensive_rating_l5,10
reb_rate_l20,9
games_remaining,9
steals_l10,9
steals_l20,9
assists_per_36_l20,9
rebounds_total_l20_weighted,9
turnovers_per_36_l10,9
rebounds_total_per_36_l10,9
consecutive_games,9
rebounds_total_l10,9
steals_per_36_l10,8
turnovers_l20_weighted,8
blocks_l10_weighted,7
tz_difference,7
is_home,7
opp_blocks_allowed_to_position,7
reb_rate_l5,6
blocks_l20,6
assists_l20_weighted,5
rebounds_total_l10_weighted,5
games_in_last_3_days,5
blocks_l5,5
assists_l10_weighted,5
three_pointers_made_l5,4
steals_l5,4
blocks_per_36_l10,4
three_pointers_made_per_36_l20,3
post_asb_bounce,3
is_well_rested,2
reb_rate_l10,1
is_mid_season,1
is_back_to_back,1
east_to_west,1
is_late_season,1
is_playoff,0
west_to_east,0
is_early_season,0
is_heavy_schedule,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
position_forward,0
position_guard,0
altitude_away,0
