feature,importance
rebounds_total_l20_weighted,126
rebounds_total_l20,86
minutes_played_l5_weighted,80
season_progress,77
rebounds_total_per_36_l20,73
star_teammate_ppg,68
days_rest,66
games_played_season,57
rebounds_total_l10,57
rebounds_total_l5_weighted,53
pace_opp,49
rebounds_total_l10_weighted,43
opp_position_turnovers_vs_team,41
rebounds_total_per_36_l5,39
rebounds_total_l5,39
points_l5_weighted,38
opp_rebounds_allowed_to_position,38
blocks_l5_weighted,37
offensive_rating_opp,37
fg_pct_l20,35
minutes_trend,34
defensive_rating_opp,34
defensive_rating_team,32
opp_assists_allowed_to_position,32
pace_team,32
rebounds_total_per_36_l10,32
games_without_star,31
offensive_rating_team,31
days_since_asb,29
blocks_l20_weighted,27
opp_points_allowed_to_position,27
three_pct_l20,25
opp_position_steals_overall,25
opp_field_goal_pct,25
opp_team_turnovers_per_game,25
is_starter_l5,24
arena_altitude,24
star_teammate_out,24
ft_pct_l10,23
pts_per_fga_l20,23
fg_pct_l10,23
reb_rate_l20,23
games_remaining,23
opp_position_turnovers_overall,22
true_shooting_pct_l20,21
offensive_rating_l20,21
ast_to_ratio_l5,20
opp_three_pointers_allowed_to_position,20
blocks_per_36_l20,20
turnovers_per_36_l20,20
games_in_last_7_days,20
minutes_played_l20,20
minutes_played_l10,20
minutes_played_l5,20
pts_per_fga_l5,19
pts_per_ast_l5,19
blocks_l10_weighted,19
offensive_rating_l5,18
defensive_rating_l5,18
steals_per_36_l20,18
fg_pct_l5,18
opp_blocks_allowed_to_position,17
points_l20,17
net_rating_l20,17
offensive_rating_l10,17
turnovers_l5_weighted,17
reb_rate_l5,17
position_guard,17
tz_difference,16
blocks_per_36_l5,16
opp_team_steals_per_game,16
steals_l5_weighted,16
usage_rate_l20,16
blocks_l20,15
blocks_per_36_l10,15
three_pointers_made_per_36_l20,14
blocks_l10,14
assists_l20,14
three_pct_l10,14
three_pointers_made_per_36_l5,14
assists_l5_weighted,14
opp_three_point_pct,14
opp_position_steals_vs_team,14
ast_to_ratio_l20,13
pts_per_ast_l20,13
turnovers_per_36_l5,13
usage_rate_l5_weighted,13
pts_per_ast_l10,13
pts_per_fga_l10,13
points_per_36_l10,13
defensive_rating_l10,13
assists_per_36_l20,12
steals_per_36_l5,12
usage_rate_l5,12
points_l5,12
true_shooting_pct_l10,12
assists_l10,11
steals_per_36_l10,11
turnovers_per_36_l10,11
defensive_rating_l20,11
three_pointers_made_l20,11
turnovers_l20,11
three_pointers_made_l5_weighted,11
points_l20_weighted,10
ft_pct_l20,10
true_shooting_pct_l5,10
is_starter_l10,10
points_l10,10
assists_per_36_l10,10
steals_l10_weighted,9
ft_pct_l5,9
net_rating_l10,9
points_l10_weighted,8
ast_to_ratio_l10,8
usage_rate_l20_weighted,8
steals_l20_weighted,8
points_per_36_l5,8
usage_rate_l10_weighted,8
three_pointers_made_l20_weighted,8
turnovers_l10,7
assists_per_36_l5,7
minutes_played_l10_weighted,7
assists_l10_weighted,7
blocks_l5,7
assists_l20_weighted,7
turnovers_l20_weighted,7
turnovers_l10_weighted,6
three_pointers_made_l10_weighted,6
net_rating_l5,6
minutes_played_l20_weighted,6
steals_l20,6
steals_l5,5
turnovers_l5,5
reb_rate_l10,5
consecutive_games,5
three_pointers_made_per_36_l10,5
games_in_last_3_days,4
steals_l10,4
points_per_36_l20,4
assists_l5,4
three_pct_l5,4
east_to_west,3
usage_rate_l10,3
three_pointers_made_l10,2
is_home,2
three_pointers_made_l5,2
post_asb_bounce,1
position_forward,1
position_center,1
is_playoff,0
west_to_east,0
is_late_season,0
is_mid_season,0
is_early_season,0
is_well_rested,0
is_heavy_schedule,0
is_back_to_back,0
playoff_performance_boost,0
playoff_games_career,0
altitude_away,0
