feature,importance
minutes_played_l5_weighted,169
steals_l20,112
opp_team_steals_per_game,93
steals_l20_weighted,91
days_rest,76
star_teammate_ppg,63
opp_position_steals_vs_team,63
opp_assists_allowed_to_position,61
season_progress,59
minutes_played_l5,56
steals_per_36_l20,54
minutes_trend,48
offensive_rating_opp,41
arena_altitude,38
rebounds_total_per_36_l20,38
offensive_rating_team,37
star_teammate_out,36
pts_per_ast_l20,36
assists_l5_weighted,35
assists_per_36_l20,35
opp_three_pointers_allowed_to_position,34
opp_rebounds_allowed_to_position,33
assists_l20_weighted,32
days_since_asb,32
minutes_played_l10_weighted,31
defensive_rating_opp,30
blocks_l20_weighted,28
blocks_per_36_l20,28
opp_field_goal_pct,28
games_played_season,27
assists_l10_weighted,27
blocks_l10_weighted,27
rebounds_total_l5_weighted,27
true_shooting_pct_l20,26
tz_difference,25
ast_to_ratio_l20,24
three_pct_l10,24
defensive_rating_l20,24
opp_position_turnovers_overall,24
pace_team,23
assists_l20,23
games_remaining,23
is_starter_l5,22
ast_to_ratio_l10,22
pace_opp,21
minutes_played_l20,20
offensive_rating_l20,19
net_rating_l20,19
steals_per_36_l5,19
rebounds_total_l20_weighted,19
turnovers_per_36_l20,19
three_pointers_made_per_36_l20,19
turnovers_l10_weighted,19
true_shooting_pct_l10,18
blocks_per_36_l10,17
games_without_star,17
opp_position_turnovers_vs_team,17
rebounds_total_per_36_l10,17
opp_points_allowed_to_position,17
opp_blocks_allowed_to_position,16
fg_pct_l20,16
defensive_rating_team,16
net_rating_l10,16
defensive_rating_l5,16
assists_per_36_l10,16
position_guard,16
points_per_36_l20,15
assists_l10,15
three_pct_l20,15
opp_team_turnovers_per_game,15
fg_pct_l5,15
three_pct_l5,15
pts_per_fga_l10,15
three_pointers_made_per_36_l5,14
ast_to_ratio_l5,14
ft_pct_l20,14
true_shooting_pct_l5,14
steals_l5_weighted,14
offensive_rating_l10,14
three_pointers_made_l20_weighted,14
turnovers_per_36_l5,13
points_l5_weighted,13
blocks_per_36_l5,13
minutes_played_l20_weighted,13
opp_three_point_pct,13
fg_pct_l10,12
offensive_rating_l5,12
pts_per_ast_l5,12
turnovers_l5_weighted,12
pts_per_ast_l10,12
net_rating_l5,12
three_pointers_made_l20,12
blocks_l5_weighted,11
usage_rate_l20,11
minutes_played_l10,11
pts_per_fga_l5,10
three_pointers_made_l5_weighted,10
usage_rate_l5_weighted,10
usage_rate_l5,10
assists_per_36_l5,10
rebounds_total_per_36_l5,10
defensive_rating_l10,10
steals_l10_weighted,9
steals_per_36_l10,9
points_l20,9
blocks_l10,9
opp_position_steals_overall,9
rebounds_total_l10,9
ft_pct_l10,9
blocks_l20,8
assists_l5,8
ft_pct_l5,8
usage_rate_l10,8
reb_rate_l5,8
points_per_36_l10,8
three_pointers_made_per_36_l10,8
turnovers_l20_weighted,8
usage_rate_l20_weighted,8
three_pointers_made_l10_weighted,8
points_l20_weighted,7
points_l5,7
points_per_36_l5,7
games_in_last_7_days,7
consecutive_games,7
reb_rate_l20,6
steals_l10,6
usage_rate_l10_weighted,6
turnovers_per_36_l10,6
turnovers_l10,5
points_l10,5
rebounds_total_l20,5
rebounds_total_l5,4
reb_rate_l10,4
three_pointers_made_l10,4
turnovers_l20,4
is_home,4
rebounds_total_l10_weighted,3
is_starter_l10,3
three_pointers_made_l5,3
games_in_last_3_days,3
turnovers_l5,3
blocks_l5,3
steals_l5,3
points_l10_weighted,3
pts_per_fga_l20,3
altitude_away,2
is_back_to_back,2
east_to_west,1
west_to_east,1
position_center,1
post_asb_bounce,0
is_late_season,0
is_mid_season,0
is_early_season,0
is_well_rested,0
is_heavy_schedule,0
playoff_performance_boost,0
playoff_games_career,0
position_forward,0
is_playoff,0
