feature,importance
three_pointers_made_l20_weighted,137
three_pct_l20,115
three_pointers_made_l20,85
three_pct_l10,67
minutes_played_l5_weighted,67
three_pointers_made_per_36_l20,61
star_teammate_ppg,53
three_pointers_made_l10_weighted,52
opp_assists_allowed_to_position,46
ft_pct_l20,45
three_pointers_made_l5_weighted,43
three_pct_l5,42
fg_pct_l20,41
season_progress,40
opp_three_pointers_allowed_to_position,40
defensive_rating_opp,38
games_played_season,37
days_rest,34
offensive_rating_opp,33
minutes_played_l20,32
defensive_rating_l10,32
three_pointers_made_l10,30
three_pointers_made_per_36_l5,30
opp_points_allowed_to_position,29
offensive_rating_team,29
minutes_played_l5,28
rebounds_total_per_36_l20,28
three_pointers_made_per_36_l10,27
pace_team,26
arena_altitude,26
opp_rebounds_allowed_to_position,26
fg_pct_l10,24
opp_three_point_pct,24
true_shooting_pct_l5,24
ft_pct_l10,24
games_without_star,23
days_since_asb,23
defensive_rating_team,23
blocks_per_36_l20,22
opp_team_turnovers_per_game,22
rebounds_total_l5_weighted,22
opp_field_goal_pct,21
pace_opp,21
blocks_per_36_l5,21
three_pointers_made_l5,21
pts_per_fga_l10,21
ast_to_ratio_l20,21
pts_per_fga_l5,20
opp_position_steals_overall,19
steals_per_36_l20,19
steals_per_36_l10,19
turnovers_l5_weighted,18
fg_pct_l5,18
net_rating_l5,18
ast_to_ratio_l5,18
points_l5_weighted,18
ft_pct_l5,18
pts_per_ast_l20,17
opp_team_steals_per_game,17
pts_per_fga_l20,17
defensive_rating_l20,17
assists_l10,17
true_shooting_pct_l20,17
steals_l5_weighted,17
blocks_l5_weighted,17
points_l10_weighted,17
minutes_trend,17
opp_position_turnovers_overall,16
assists_l20,16
opp_position_turnovers_vs_team,16
star_teammate_out,16
steals_l20_weighted,16
minutes_played_l10,16
rebounds_total_per_36_l10,16
defensive_rating_l5,16
usage_rate_l5,16
usage_rate_l5_weighted,16
minutes_played_l10_weighted,15
games_in_last_7_days,15
consecutive_games,15
turnovers_l20_weighted,15
is_starter_l5,15
points_l10,15
points_l5,15
blocks_per_36_l10,14
rebounds_total_per_36_l5,14
steals_l10_weighted,14
assists_l5,14
opp_position_steals_vs_team,14
steals_per_36_l5,14
minutes_played_l20_weighted,14
pts_per_ast_l5,13
rebounds_total_l10_weighted,13
points_l20_weighted,13
is_home,13
assists_l5_weighted,13
steals_l20,13
points_per_36_l5,13
assists_per_36_l20,12
usage_rate_l20,12
turnovers_per_36_l10,12
net_rating_l10,12
blocks_l10_weighted,11
offensive_rating_l10,11
turnovers_l10,11
opp_blocks_allowed_to_position,11
rebounds_total_l20_weighted,11
usage_rate_l10,11
offensive_rating_l5,11
usage_rate_l20_weighted,11
reb_rate_l5,10
pts_per_ast_l10,10
blocks_l20_weighted,10
tz_difference,10
points_per_36_l20,10
rebounds_total_l10,10
rebounds_total_l20,9
offensive_rating_l20,9
ast_to_ratio_l10,9
steals_l10,9
assists_per_36_l5,9
is_starter_l10,8
games_remaining,8
turnovers_per_36_l5,8
true_shooting_pct_l10,7
turnovers_l20,7
assists_per_36_l10,7
assists_l20_weighted,6
blocks_l20,6
points_per_36_l10,6
usage_rate_l10_weighted,6
blocks_l10,6
turnovers_l10_weighted,6
reb_rate_l20,5
points_l20,4
steals_l5,4
net_rating_l20,4
turnovers_per_36_l20,4
west_to_east,3
rebounds_total_l5,2
assists_l10_weighted,2
is_well_rested,2
games_in_last_3_days,2
post_asb_bounce,1
turnovers_l5,1
is_mid_season,1
is_early_season,1
reb_rate_l10,1
position_guard,1
is_heavy_schedule,1
is_back_to_back,1
blocks_l5,1
is_playoff,0
east_to_west,0
is_late_season,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
position_forward,0
altitude_away,0
