feature,importance
opp_team_turnovers_per_game,112
assists_l5_weighted,90
star_teammate_ppg,73
turnovers_l20,69
turnovers_l20_weighted,63
season_progress,56
offensive_rating_team,51
usage_rate_l20,47
games_without_star,46
defensive_rating_team,45
defensive_rating_opp,42
points_l5_weighted,41
assists_l20_weighted,40
assists_l10_weighted,39
minutes_played_l5_weighted,37
defensive_rating_l20,33
arena_altitude,32
turnovers_l10_weighted,32
opp_team_steals_per_game,31
turnovers_l10,31
minutes_trend,31
points_l5,30
days_since_asb,30
assists_l5,28
turnovers_per_36_l20,28
offensive_rating_opp,27
assists_per_36_l20,27
star_teammate_out,27
pace_opp,26
three_pointers_made_per_36_l5,25
assists_per_36_l10,25
games_played_season,25
opp_three_point_pct,25
usage_rate_l5_weighted,25
rebounds_total_l5_weighted,25
rebounds_total_l20,24
usage_rate_l20_weighted,24
steals_l5_weighted,24
opp_position_turnovers_vs_team,24
days_rest,24
minutes_played_l5,24
rebounds_total_per_36_l20,23
usage_rate_l5,22
opp_rebounds_allowed_to_position,22
opp_points_allowed_to_position,22
usage_rate_l10,22
pts_per_ast_l10,22
turnovers_l5_weighted,22
opp_field_goal_pct,22
points_l20_weighted,21
ast_to_ratio_l10,21
points_per_36_l5,20
assists_per_36_l5,20
true_shooting_pct_l5,20
ast_to_ratio_l5,20
turnovers_per_36_l5,19
turnovers_per_36_l10,19
defensive_rating_l5,19
ft_pct_l20,19
turnovers_l5,19
assists_l10,19
opp_position_steals_vs_team,18
fg_pct_l20,18
minutes_played_l10_weighted,18
opp_position_steals_overall,18
ft_pct_l5,18
net_rating_l20,18
three_pct_l20,18
assists_l20,18
opp_assists_allowed_to_position,18
pace_team,18
opp_position_turnovers_overall,18
rebounds_total_l5,18
three_pointers_made_l20,17
points_l10_weighted,17
rebounds_total_l20_weighted,17
blocks_per_36_l20,17
usage_rate_l10_weighted,17
three_pct_l10,17
fg_pct_l10,17
offensive_rating_l5,16
games_remaining,16
points_per_36_l20,16
points_l10,16
three_pointers_made_per_36_l10,15
minutes_played_l20,15
pts_per_ast_l5,15
three_pointers_made_per_36_l20,15
opp_three_pointers_allowed_to_position,15
points_l20,15
defensive_rating_l10,14
offensive_rating_l10,14
net_rating_l10,14
steals_l10,14
minutes_played_l10,14
rebounds_total_l10_weighted,13
three_pointers_made_l10,13
ft_pct_l10,13
ast_to_ratio_l20,13
rebounds_total_l10,13
steals_l20_weighted,13
steals_l10_weighted,13
rebounds_total_per_36_l10,12
points_per_36_l10,12
blocks_l20,12
pts_per_fga_l10,12
minutes_played_l20_weighted,12
rebounds_total_per_36_l5,12
pts_per_ast_l20,11
blocks_l20_weighted,11
blocks_l5_weighted,11
steals_l20,10
opp_blocks_allowed_to_position,10
three_pointers_made_l5,10
blocks_l10_weighted,10
true_shooting_pct_l20,9
tz_difference,9
three_pointers_made_l20_weighted,9
blocks_per_36_l5,9
steals_per_36_l20,9
net_rating_l5,9
true_shooting_pct_l10,9
offensive_rating_l20,8
pts_per_fga_l5,8
pts_per_fga_l20,8
is_starter_l5,8
three_pct_l5,8
blocks_per_36_l10,8
steals_per_36_l10,7
games_in_last_7_days,7
consecutive_games,7
is_home,6
games_in_last_3_days,6
fg_pct_l5,5
three_pointers_made_l5_weighted,5
three_pointers_made_l10_weighted,5
blocks_l5,4
is_starter_l10,4
steals_per_36_l5,4
is_mid_season,3
reb_rate_l10,3
steals_l5,3
blocks_l10,2
reb_rate_l5,1
east_to_west,1
west_to_east,1
is_late_season,1
is_back_to_back,1
is_well_rested,1
reb_rate_l20,1
is_playoff,0
post_asb_bounce,0
is_early_season,0
is_heavy_schedule,0
playoff_performance_boost,0
playoff_games_career,0
position_center,0
position_forward,0
position_guard,0
altitude_away,0
