feature,importance
assists_l20_weighted,0.8515636864482964
assists_l20,0.012777828983945482
star_teammate_ppg,0.004939314519510071
minutes_played_l5_weighted,0.00485614463098931
opp_assists_allowed_to_position,0.0026340082072569674
defensive_rating_opp,0.002623668091272219
turnovers_l5_weighted,0.0024131934277054055
games_played_season,0.002172695518161911
season_progress,0.0020150669216119914
assists_l5_weighted,0.0018435873767810732
opp_field_goal_pct,0.0017036873391439442
points_l5_weighted,0.0016892270351800292
assists_per_36_l20,0.0016732908855063547
offensive_rating_team,0.0015736396926867072
offensive_rating_opp,0.0015599182213815832
pace_team,0.0015588154480932904
turnovers_per_36_l20,0.0015463347319939033
assists_l10_weighted,0.001502546198284559
defensive_rating_team,0.0014201698782647992
pace_opp,0.001354411789217429
minutes_trend,0.001320468208814233
turnovers_per_36_l5,0.0013108254274406914
games_without_star,0.001295541680176935
assists_per_36_l10,0.0012840188137768589
turnovers_per_36_l10,0.0012516732309461273
assists_per_36_l5,0.001246631199004299
opp_three_point_pct,0.001242445581407395
ft_pct_l10,0.001222279805004721
opp_team_turnovers_per_game,0.0012131774098265442
three_pct_l20,0.001194478128804628
defensive_rating_l5,0.0011754459951588256
opp_three_pointers_allowed_to_position,0.0011635072248324808
net_rating_l5,0.001163071325292407
opp_position_turnovers_overall,0.0011595707822552258
turnovers_l10_weighted,0.0011376816786504164
ft_pct_l20,0.0011119046693262176
steals_per_36_l20,0.0011092094167289863
true_shooting_pct_l20,0.0010946158857162826
minutes_played_l5,0.0010861619128165582
three_pct_l10,0.0010824296443831174
fg_pct_l10,0.00107647617575368
arena_altitude,0.0010748359382496326
fg_pct_l20,0.0010729924135545771
days_rest,0.0010686733376640883
opp_rebounds_allowed_to_position,0.0010560113307751318
minutes_played_l20,0.0010465811312398206
turnovers_l20_weighted,0.0010458739936192658
opp_position_turnovers_vs_team,0.00103062653696182
defensive_rating_l20,0.0010283465079136093
opp_points_allowed_to_position,0.0010272320816433855
pts_per_ast_l5,0.0010218597366835308
pts_per_fga_l10,0.001021336856977771
steals_l5_weighted,0.0010190265382629144
steals_per_36_l5,0.0009937228555543418
pts_per_fga_l20,0.0009908032576240505
opp_position_steals_overall,0.0009822937661164745
days_since_asb,0.0009808916688575536
net_rating_l20,0.0009711594033215273
ast_to_ratio_l10,0.0009693754070963585
opp_team_steals_per_game,0.0009560006540033712
true_shooting_pct_l10,0.0009540317866295784
fg_pct_l5,0.0009536949794047686
three_pct_l5,0.0009534696122213017
blocks_per_36_l20,0.0009456138371123133
usage_rate_l20,0.000942267284280655
usage_rate_l5_weighted,0.0009404035252112906
ast_to_ratio_l20,0.0009284595363332318
true_shooting_pct_l5,0.0009212476426139932
rebounds_total_l20,0.0009192178526670128
ast_to_ratio_l5,0.0009143857011605367
defensive_rating_l10,0.0009025774199061667
steals_l10_weighted,0.0008822129844691551
steals_l20_weighted,0.000875465430645914
pts_per_fga_l5,0.0008724421300480539
net_rating_l10,0.0008719434741673876
ft_pct_l5,0.0008533642835268182
minutes_played_l10_weighted,0.0008454371670103623
blocks_l20_weighted,0.0008433434904418339
blocks_per_36_l5,0.0008389384951942334
blocks_per_36_l10,0.000823902507917451
opp_position_steals_vs_team,0.0008203031285803963
opp_blocks_allowed_to_position,0.0008038731524620142
steals_per_36_l10,0.0008015681831175113
offensive_rating_l5,0.0007971862664581219
usage_rate_l10,0.0007840456012732155
usage_rate_l5,0.0007820809505268219
points_per_36_l5,0.0007814031167980217
assists_l10,0.0007813482750904596
rebounds_total_l5_weighted,0.0007768848628773112
three_pointers_made_per_36_l20,0.0007603484624751335
minutes_played_l10,0.0007406386074094037
offensive_rating_l20,0.0007369452711174074
turnovers_l20,0.0007322513180954295
games_remaining,0.0007064180566222006
three_pointers_made_per_36_l5,0.0007015509407571157
three_pointers_made_per_36_l10,0.0006970650905758526
rebounds_total_l20_weighted,0.0006963676361615641
pts_per_ast_l10,0.0006822014343328764
points_per_36_l10,0.0006593735199150416
minutes_played_l20_weighted,0.000658669688447744
offensive_rating_l10,0.0006545186450137444
consecutive_games,0.0006415606672160473
pts_per_ast_l20,0.000641298505226276
points_l20,0.000639977289678692
rebounds_total_l10_weighted,0.000632961240379667
usage_rate_l20_weighted,0.0006281912145853096
usage_rate_l10_weighted,0.0006232287995869845
points_l10_weighted,0.0005847194561876671
games_in_last_7_days,0.0005804990010828797
points_per_36_l20,0.0005772966423531836
three_pointers_made_l5_weighted,0.0005699520886932023
blocks_l10_weighted,0.0005639763133242526
reb_rate_l10,0.0005597409739442756
blocks_l5_weighted,0.0005543721481420237
reb_rate_l5,0.0005533566259831395
three_pointers_made_l10_weighted,0.0005264759790918253
steals_l20,0.0005240903141237462
points_l20_weighted,0.0005138381077619876
assists_l5,0.000507178118745718
rebounds_total_per_36_l10,0.0004974845956410218
rebounds_total_per_36_l20,0.0004960758327068807
rebounds_total_per_36_l5,0.0004953747946296707
three_pointers_made_l20_weighted,0.00048713197577520827
reb_rate_l20,0.00047656843907208833
rebounds_total_l10,0.0004326223407441049
