feature,importance
turnovers_l20_weighted,0.6251957598135534
turnovers_l20,0.03450977795032211
points_l5_weighted,0.021169567714975523
assists_l5_weighted,0.015650606474683186
minutes_played_l5_weighted,0.013012995228383874
points_l10_weighted,0.010965079982484496
assists_l10_weighted,0.010580517821046891
assists_l20_weighted,0.009313823270870734
opp_team_turnovers_per_game,0.008868029485221803
points_l20_weighted,0.007310291476443204
star_teammate_ppg,0.006241302121219625
offensive_rating_team,0.004117320332760179
defensive_rating_opp,0.004074679469175484
opp_position_turnovers_vs_team,0.003997810754978994
usage_rate_l20,0.003856212142945561
defensive_rating_team,0.0035884277572148008
turnovers_per_36_l20,0.0035827386907942103
season_progress,0.0032225307825190044
usage_rate_l5,0.0030435135211407103
opp_field_goal_pct,0.003038160645343371
offensive_rating_opp,0.003037872483814564
assists_per_36_l5,0.00301506328823445
opp_position_steals_overall,0.0029771885331401535
assists_per_36_l20,0.0029286582551504626
usage_rate_l10,0.002891494306584587
turnovers_l5_weighted,0.0028288655794361474
ast_to_ratio_l10,0.002788633468631004
games_without_star,0.0027367446586219297
assists_per_36_l10,0.0026998436298933653
turnovers_per_36_l5,0.0026842613734892324
three_pct_l20,0.0026718554288111054
rebounds_total_l5_weighted,0.0026585139413075284
opp_three_point_pct,0.0026087478549446865
pace_opp,0.002564369349077918
usage_rate_l5_weighted,0.002562204782459913
minutes_trend,0.0025417302081844916
ast_to_ratio_l5,0.002522342198957424
turnovers_l10_weighted,0.0024129597818419446
opp_points_allowed_to_position,0.002377178511112498
turnovers_per_36_l10,0.00235740276811603
points_per_36_l5,0.0023517612129511905
pace_team,0.002266344914018999
usage_rate_l20_weighted,0.002238129379139042
minutes_played_l5,0.0022318977936454055
true_shooting_pct_l20,0.0022091072690427487
opp_team_steals_per_game,0.002183037746108827
true_shooting_pct_l10,0.00216595669162235
true_shooting_pct_l5,0.0021498480977657506
pts_per_fga_l20,0.0021469678774447406
opp_rebounds_allowed_to_position,0.0021322162278734134
usage_rate_l10_weighted,0.002103394760774529
ast_to_ratio_l20,0.002101005263281606
fg_pct_l20,0.0020942776934277135
fg_pct_l10,0.0020894556670503256
opp_position_turnovers_overall,0.0020758693538043735
opp_assists_allowed_to_position,0.0020349957755324923
ft_pct_l20,0.002024824388048023
three_pct_l10,0.0020215873025436126
offensive_rating_l5,0.0020148042397594573
pts_per_fga_l10,0.002013733932755169
points_per_36_l10,0.001988412250752954
offensive_rating_l10,0.0019355076601804673
blocks_per_36_l20,0.001928567490203288
opp_three_pointers_allowed_to_position,0.0019268585580807728
pts_per_ast_l5,0.0019242526629484652
three_pointers_made_per_36_l5,0.0019162356824172875
steals_per_36_l5,0.0018878017827392206
assists_l20,0.0018717069244066436
games_played_season,0.001868831265893645
steals_per_36_l20,0.0018580488698056365
pts_per_ast_l10,0.0018516930871495506
pts_per_ast_l20,0.0018324863816203652
net_rating_l20,0.0018138722840177444
days_since_asb,0.0018101006094270403
fg_pct_l5,0.001802303268364964
pts_per_fga_l5,0.0017970578922268281
ft_pct_l10,0.0017773086827471563
opp_blocks_allowed_to_position,0.0017740437554726565
defensive_rating_l5,0.0017674645286114086
offensive_rating_l20,0.0017554317590942627
three_pct_l5,0.0017386619125709997
rebounds_total_l10_weighted,0.0017258166923918227
minutes_played_l20,0.001704998793333233
opp_position_steals_vs_team,0.0016857213146850775
steals_per_36_l10,0.0016798664891577626
points_per_36_l20,0.0016588264230600963
net_rating_l5,0.001656727844659753
three_pointers_made_per_36_l20,0.0016539019845928761
rebounds_total_l20,0.0016130038111274985
defensive_rating_l20,0.0016126724226860976
steals_l5_weighted,0.0016104920344325111
points_l5,0.0015830748105811277
minutes_played_l10,0.001557416573489454
net_rating_l10,0.0015293689877311067
steals_l10_weighted,0.0015136696794932878
minutes_played_l10_weighted,0.0015052250606444584
three_pointers_made_per_36_l10,0.0014980552502986445
ft_pct_l5,0.0014844372536650453
steals_l20_weighted,0.001470745974548593
rebounds_total_l20_weighted,0.0014561495412285911
blocks_per_36_l5,0.0014361217511406736
reb_rate_l20,0.0014145988459125494
points_l20,0.0014121865784234853
blocks_l20_weighted,0.0013957304360472501
arena_altitude,0.0013760053175912057
games_remaining,0.001315379522135793
blocks_per_36_l10,0.001267087085885958
rebounds_total_per_36_l5,0.0012486542240665458
defensive_rating_l10,0.0012286417027490156
reb_rate_l5,0.001223843312472398
three_pointers_made_l5_weighted,0.0011989450086622934
rebounds_total_per_36_l20,0.0011951919121163614
points_l10,0.0011943398105851463
assists_l10,0.0011670307199669917
blocks_l5_weighted,0.0011516093451162215
minutes_played_l20_weighted,0.0010924223449410592
three_pointers_made_l20_weighted,0.0010559030186076475
turnovers_l10,0.0010485239695207083
reb_rate_l10,0.0010215475679864541
