feature,importance
assists_l20_weighted,0.40447968
assists_l10_weighted,0.101784214
assists_l20,0.030290972
assists_l5_weighted,0.011010706
games_played_season,0.006149631
season_progress,0.0060398635
is_starter_l5,0.006009262
games_in_last_7_days,0.0057002367
assists_l10,0.0055072154
is_home,0.0053394004
minutes_played_l5_weighted,0.0051792962
points_l5_weighted,0.0049595586
star_teammate_out,0.0047753635
days_rest,0.004772561
days_since_asb,0.004655288
star_teammate_ppg,0.0046276427
turnovers_l5_weighted,0.004442257
minutes_trend,0.004331728
reb_rate_l10,0.0041722525
games_in_last_3_days,0.004158611
opp_assists_allowed_to_position,0.0040894346
defensive_rating_opp,0.004079644
assists_per_36_l20,0.0040282505
is_starter_l10,0.0038665545
defensive_rating_l5,0.0038476628
position_guard,0.003723049
net_rating_l5,0.003678967
opp_field_goal_pct,0.0036777433
turnovers_l20_weighted,0.0036045527
usage_rate_l20_weighted,0.0036035122
points_l10_weighted,0.003592423
points_per_36_l5,0.0035272865
usage_rate_l5_weighted,0.003517114
blocks_l10_weighted,0.0034754972
ft_pct_l10,0.0034168956
games_remaining,0.0034127592
offensive_rating_opp,0.0034064814
pace_team,0.0034020965
blocks_per_36_l10,0.0033966005
true_shooting_pct_l20,0.0033616968
is_mid_season,0.003344008
minutes_played_l10_weighted,0.0033300088
arena_altitude,0.0033187084
turnovers_per_36_l20,0.0033185473
three_pct_l20,0.0032558895
west_to_east,0.0032478326
opp_rebounds_allowed_to_position,0.0032442673
ast_to_ratio_l20,0.0031981086
opp_three_pointers_allowed_to_position,0.0031857507
is_back_to_back,0.003181723
three_pointers_made_per_36_l20,0.0031739278
minutes_played_l5,0.0031488005
three_pointers_made_l5_weighted,0.0031404092
blocks_l5_weighted,0.003128875
rebounds_total_per_36_l20,0.0031172105
points_l20_weighted,0.0030761815
three_pointers_made_l10_weighted,0.0030672054
rebounds_total_l20,0.0030633246
offensive_rating_team,0.0030631407
offensive_rating_l5,0.0030609046
games_without_star,0.0030581332
pts_per_fga_l5,0.003055271
fg_pct_l10,0.0030392199
pace_opp,0.0030388192
usage_rate_l10,0.0030017013
usage_rate_l5,0.0029912875
ast_to_ratio_l10,0.002978155
rebounds_total_l5_weighted,0.0029772704
assists_per_36_l10,0.0029709556
pts_per_fga_l20,0.002966248
steals_l10_weighted,0.0029595024
three_pointers_made_l20_weighted,0.0029571867
minutes_played_l20_weighted,0.0029535773
points_per_36_l20,0.0029494958
steals_per_36_l5,0.0029412943
offensive_rating_l10,0.0029385726
turnovers_per_36_l10,0.0029370487
steals_l20_weighted,0.0029253275
three_pointers_made_per_36_l5,0.0029253096
rebounds_total_per_36_l10,0.0029227359
turnovers_l20,0.0029149486
blocks_per_36_l5,0.0029130317
fg_pct_l20,0.0029109037
three_pct_l5,0.002906169
defensive_rating_team,0.0029013907
pts_per_ast_l20,0.0028881645
assists_l5,0.002864792
true_shooting_pct_l10,0.0028606977
is_late_season,0.0028347122
usage_rate_l10_weighted,0.0028339352
minutes_played_l10,0.002833251
blocks_per_36_l20,0.0028310753
reb_rate_l5,0.0028198762
defensive_rating_l20,0.002787176
assists_per_36_l5,0.0027821534
turnovers_l10_weighted,0.002779294
opp_three_point_pct,0.0027677065
blocks_l20_weighted,0.0027477047
rebounds_total_per_36_l5,0.0027329507
three_pointers_made_per_36_l10,0.0027248405
steals_per_36_l20,0.0027162577
defensive_rating_l10,0.0027053757
usage_rate_l20,0.0026971023
opp_points_allowed_to_position,0.0026922086
reb_rate_l20,0.0026717656
steals_per_36_l10,0.0026610654
opp_team_steals_per_game,0.0026456045
tz_difference,0.002639367
minutes_played_l20,0.0026239094
points_per_36_l10,0.002614702
ft_pct_l20,0.002602613
rebounds_total_l10_weighted,0.0025798355
three_pct_l10,0.0025727532
turnovers_l10,0.0025694494
steals_l20,0.0025658808
net_rating_l10,0.002549814
opp_position_turnovers_overall,0.0025265072
opp_position_turnovers_vs_team,0.0025253573
pts_per_ast_l5,0.0025011036
three_pointers_made_l20,0.0024916902
steals_l5_weighted,0.0024844927
pts_per_fga_l10,0.0024828715
opp_blocks_allowed_to_position,0.0024798594
consecutive_games,0.002463301
ast_to_ratio_l5,0.0024599065
ft_pct_l5,0.0024064002
rebounds_total_l10,0.0024056735
pts_per_ast_l10,0.0023810742
turnovers_per_36_l5,0.002370013
net_rating_l20,0.0023626003
rebounds_total_l20_weighted,0.0023599851
true_shooting_pct_l5,0.0023493029
turnovers_l5,0.0023383868
fg_pct_l5,0.0023372283
opp_position_steals_vs_team,0.002335264
points_l10,0.0023303288
opp_team_turnovers_per_game,0.0023140514
opp_position_steals_overall,0.0021918542
position_center,0.0021836415
points_l20,0.0020953624
is_heavy_schedule,0.0020438654
offensive_rating_l20,0.0020380728
three_pointers_made_l10,0.0019401534
blocks_l20,0.0017960011
steals_l10,0.0017746212
blocks_l10,0.0016634178
is_well_rested,0.001635008
three_pointers_made_l5,0.001577219
east_to_west,0.0013405544
rebounds_total_l5,0.0011719209
points_l5,0.0011260262
steals_l5,0.0009871165
blocks_l5,0.0007414687
is_playoff,0.0
post_asb_bounce,0.0
is_early_season,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
position_forward,0.0
altitude_away,0.0
