feature,importance
blocks_l20,0.15230334
blocks_l20_weighted,0.06291067
rebounds_total_l5_weighted,0.008935146
blocks_l10,0.008670178
is_heavy_schedule,0.008309028
is_late_season,0.0082759885
rebounds_total_l10_weighted,0.007804983
rebounds_total_l20_weighted,0.007336146
altitude_away,0.006987491
blocks_l10_weighted,0.0063515804
days_since_asb,0.0059542707
is_starter_l5,0.005854949
is_starter_l10,0.0057917
blocks_per_36_l20,0.0057843733
opp_blocks_allowed_to_position,0.0057065105
three_pointers_made_l20_weighted,0.005695109
pts_per_ast_l20,0.0056939814
minutes_played_l5_weighted,0.0056890026
post_asb_bounce,0.005678475
defensive_rating_l5,0.0056553497
net_rating_l20,0.0056428565
rebounds_total_per_36_l20,0.0055999784
fg_pct_l20,0.005575327
assists_l20_weighted,0.005518254
is_well_rested,0.0054775197
assists_per_36_l10,0.005477454
steals_l20_weighted,0.0054372717
assists_l10_weighted,0.005422383
points_l10_weighted,0.0053933556
rebounds_total_l20,0.0053875055
east_to_west,0.0053857556
offensive_rating_l20,0.0053608804
steals_l20,0.0053263605
rebounds_total_per_36_l10,0.0053213597
games_remaining,0.005321169
three_pointers_made_l10_weighted,0.00531222
minutes_played_l20_weighted,0.0053070257
fg_pct_l10,0.0052932207
reb_rate_l20,0.0052841757
star_teammate_ppg,0.005283642
defensive_rating_l10,0.0052755503
position_forward,0.0052727703
usage_rate_l10_weighted,0.005271427
defensive_rating_l20,0.0052574263
games_played_season,0.005252347
three_pointers_made_l20,0.005247548
net_rating_l10,0.0052452115
points_l5_weighted,0.005243321
three_pointers_made_per_36_l20,0.0052382057
assists_l20,0.0052349307
blocks_per_36_l10,0.00523227
pts_per_ast_l10,0.0052268463
minutes_played_l10,0.0052237185
minutes_played_l10_weighted,0.005213703
usage_rate_l5_weighted,0.005198495
ast_to_ratio_l20,0.0051968438
blocks_per_36_l5,0.005179941
star_teammate_out,0.005169376
days_rest,0.005141453
reb_rate_l5,0.00513701
turnovers_per_36_l20,0.0051344153
points_l20_weighted,0.0051318533
is_mid_season,0.0051266407
is_home,0.005124993
turnovers_l10_weighted,0.0051221712
rebounds_total_l10,0.005119956
is_back_to_back,0.005100286
ft_pct_l20,0.0050823214
pace_team,0.0050750882
points_per_36_l10,0.0050744335
net_rating_l5,0.0050602094
assists_l5_weighted,0.0050591114
minutes_trend,0.005049471
usage_rate_l20_weighted,0.005041795
steals_per_36_l20,0.005039389
rebounds_total_l5,0.0050189984
turnovers_per_36_l5,0.0050067385
opp_team_steals_per_game,0.005003689
three_pct_l5,0.0050014784
opp_position_turnovers_overall,0.0050014714
rebounds_total_per_36_l5,0.0049977293
assists_per_36_l20,0.004993067
opp_position_turnovers_vs_team,0.0049843
opp_field_goal_pct,0.0049775336
turnovers_per_36_l10,0.004972387
offensive_rating_l10,0.004952043
pts_per_fga_l20,0.0049482738
turnovers_l5_weighted,0.0049417187
points_per_36_l5,0.004935556
pace_opp,0.0049339854
three_pointers_made_l5_weighted,0.0049332073
usage_rate_l20,0.004928376
games_without_star,0.004919063
steals_l10_weighted,0.0049188244
opp_three_pointers_allowed_to_position,0.00491819
points_per_36_l20,0.0049123154
pts_per_fga_l10,0.0049037947
minutes_played_l20,0.0048740413
pts_per_ast_l5,0.0048740124
three_pointers_made_per_36_l5,0.0048663854
position_guard,0.004856877
games_in_last_7_days,0.004853243
opp_assists_allowed_to_position,0.004851774
opp_rebounds_allowed_to_position,0.004849041
steals_per_36_l5,0.0048455703
offensive_rating_opp,0.0048440467
three_pct_l20,0.0048164083
defensive_rating_opp,0.004810582
turnovers_l20,0.0048068976
ft_pct_l5,0.004802705
arena_altitude,0.0047939476
points_l5,0.0047922935
ast_to_ratio_l5,0.004790321
offensive_rating_team,0.004783723
steals_per_36_l10,0.0047791996
fg_pct_l5,0.004771007
three_pointers_made_per_36_l10,0.0047630146
ft_pct_l10,0.004761895
offensive_rating_l5,0.0047575836
true_shooting_pct_l10,0.0047470992
season_progress,0.0047337054
true_shooting_pct_l5,0.0047271
opp_team_turnovers_per_game,0.0047217454
turnovers_l20_weighted,0.0047184033
true_shooting_pct_l20,0.0047181575
usage_rate_l5,0.004695244
defensive_rating_team,0.0046896213
points_l10,0.004686268
blocks_l5_weighted,0.004660961
points_l20,0.0046476587
opp_position_steals_vs_team,0.004639858
opp_position_steals_overall,0.0046295268
three_pointers_made_l10,0.00462385
pts_per_fga_l5,0.004607398
steals_l5_weighted,0.0046070013
opp_points_allowed_to_position,0.0045979135
assists_per_36_l5,0.004597522
usage_rate_l10,0.0045761005
ast_to_ratio_l10,0.004560909
opp_three_point_pct,0.0045606247
consecutive_games,0.0045514605
three_pct_l10,0.004495335
tz_difference,0.0044426913
steals_l10,0.0044197245
reb_rate_l10,0.004382609
assists_l10,0.004374009
games_in_last_3_days,0.004347516
turnovers_l10,0.004280349
minutes_played_l5,0.0042189877
three_pointers_made_l5,0.0039623906
turnovers_l5,0.0039242487
west_to_east,0.0039086984
steals_l5,0.003764446
assists_l5,0.0036896362
blocks_l5,0.0031267002
is_early_season,0.0010007351
playoff_performance_boost,0.0
position_center,0.0
playoff_games_career,0.0
is_playoff,0.0
