feature,importance
points_l20_weighted,0.32081658
points_l10_weighted,0.3045718
points_l20,0.06635255
points_l5_weighted,0.013966866
minutes_played_l5_weighted,0.007847736
offensive_rating_l20,0.006006426
points_l10,0.005089402
minutes_played_l20_weighted,0.0046970434
usage_rate_l20_weighted,0.0040868674
usage_rate_l20,0.0040345206
is_starter_l5,0.0038876722
star_teammate_ppg,0.0038361899
is_starter_l10,0.0036574276
star_teammate_out,0.003549575
usage_rate_l5_weighted,0.0034669982
is_early_season,0.0034300832
games_in_last_3_days,0.0033407437
games_in_last_7_days,0.002999634
days_rest,0.0029539887
season_progress,0.0027949687
pts_per_fga_l10,0.0027739618
minutes_played_l10_weighted,0.0027347368
games_played_season,0.002634276
is_well_rested,0.002531526
usage_rate_l10_weighted,0.0025293822
games_remaining,0.0025175367
days_since_asb,0.0023960029
true_shooting_pct_l20,0.002336568
three_pct_l10,0.002335608
pts_per_fga_l20,0.0022753594
pts_per_fga_l5,0.0022393982
blocks_per_36_l20,0.0022298987
assists_per_36_l10,0.0022020126
fg_pct_l20,0.0021998915
true_shooting_pct_l5,0.0021748443
pace_opp,0.0021730503
turnovers_l20_weighted,0.0021725935
net_rating_l20,0.0021651485
opp_field_goal_pct,0.0021221512
is_heavy_schedule,0.0021011725
defensive_rating_l5,0.002095411
usage_rate_l5,0.0020863982
minutes_played_l20,0.0020712214
fg_pct_l5,0.0020648423
defensive_rating_opp,0.002038866
usage_rate_l10,0.00202583
offensive_rating_l5,0.0020235754
fg_pct_l10,0.002016197
points_per_36_l20,0.0020066374
defensive_rating_l20,0.0019924382
net_rating_l5,0.0019915528
west_to_east,0.0019884584
points_per_36_l10,0.0019817408
three_pct_l20,0.001973146
blocks_l10_weighted,0.0019604617
blocks_per_36_l5,0.0019507426
rebounds_total_l5_weighted,0.0019376568
net_rating_l10,0.0019338247
ast_to_ratio_l10,0.0019163166
opp_position_turnovers_overall,0.0019018785
turnovers_per_36_l5,0.0018951667
assists_per_36_l20,0.001881882
assists_l5_weighted,0.0018700957
opp_team_turnovers_per_game,0.0018615333
points_per_36_l5,0.0018517094
rebounds_total_per_36_l10,0.0018468822
offensive_rating_l10,0.0018461975
true_shooting_pct_l10,0.0018363307
tz_difference,0.0018343679
three_pct_l5,0.0018322374
rebounds_total_l10_weighted,0.0018239849
three_pointers_made_per_36_l5,0.0018175831
pts_per_ast_l10,0.0018166901
opp_assists_allowed_to_position,0.0018015868
pace_team,0.0017679508
pts_per_ast_l5,0.0017648007
blocks_l20_weighted,0.0017602358
is_back_to_back,0.0017567924
turnovers_l5_weighted,0.0017517738
three_pointers_made_per_36_l10,0.0017506008
minutes_played_l5,0.0017470847
three_pointers_made_per_36_l20,0.0017399665
assists_l20_weighted,0.0017299018
opp_rebounds_allowed_to_position,0.0017297787
reb_rate_l10,0.001728866
pts_per_ast_l20,0.001719977
ast_to_ratio_l20,0.0017167527
ft_pct_l10,0.0016931522
offensive_rating_team,0.0016923608
three_pointers_made_l10_weighted,0.0016875869
games_without_star,0.0016798635
opp_position_steals_vs_team,0.0016685899
three_pointers_made_l20_weighted,0.0016667295
opp_points_allowed_to_position,0.0016630131
defensive_rating_team,0.0016611248
steals_per_36_l10,0.0016577201
assists_per_36_l5,0.0016463872
opp_three_pointers_allowed_to_position,0.0016377077
three_pointers_made_l20,0.0016259323
turnovers_l10_weighted,0.0016254344
rebounds_total_l20,0.0016190779
ft_pct_l20,0.0016135412
rebounds_total_l20_weighted,0.0016109388
opp_position_steals_overall,0.0016037038
opp_position_turnovers_vs_team,0.0015922899
rebounds_total_per_36_l20,0.0015883745
opp_team_steals_per_game,0.0015820534
ft_pct_l5,0.0015766578
turnovers_per_36_l20,0.0015693024
defensive_rating_l10,0.0015665137
rebounds_total_per_36_l5,0.0015601385
arena_altitude,0.0015571546
turnovers_l20,0.0015555292
assists_l10,0.0015510542
is_home,0.0015441696
reb_rate_l20,0.0015309566
reb_rate_l5,0.001524879
three_pointers_made_l5_weighted,0.0015198351
rebounds_total_l10,0.0015192744
ast_to_ratio_l5,0.0015157018
minutes_trend,0.0015142305
altitude_away,0.0014893463
steals_per_36_l20,0.0014601786
opp_blocks_allowed_to_position,0.0014525182
steals_l5_weighted,0.0014511773
assists_l10_weighted,0.0014460867
blocks_per_36_l10,0.0014390661
opp_three_point_pct,0.0014351109
steals_l20_weighted,0.0014307486
blocks_l5_weighted,0.0014107742
turnovers_l10,0.0014065601
three_pointers_made_l10,0.001389606
turnovers_per_36_l10,0.0013847124
minutes_played_l10,0.0013700476
assists_l20,0.001361695
steals_per_36_l5,0.001351819
steals_l10_weighted,0.0013224942
offensive_rating_opp,0.0013048395
steals_l20,0.0012017434
east_to_west,0.0011849888
position_guard,0.0011749574
consecutive_games,0.0011343082
post_asb_bounce,0.0010449992
blocks_l20,0.0010313038
turnovers_l5,0.0009924464
blocks_l5,0.0009878576
blocks_l10,0.0009614081
assists_l5,0.0009117251
three_pointers_made_l5,0.00087768555
is_mid_season,0.00081675197
steals_l10,0.000807589
points_l5,0.00074288837
rebounds_total_l5,0.0005840993
steals_l5,0.00054727384
playoff_performance_boost,0.0
playoff_games_career,0.0
position_forward,0.0
is_late_season,0.0
position_center,0.0
is_playoff,0.0
