feature,importance
rebounds_total_l20_weighted,0.31336683
rebounds_total_l20,0.115843914
rebounds_total_l10_weighted,0.11389223
position_center,0.007838404
minutes_played_l5_weighted,0.006768425
is_starter_l5,0.0063544335
rebounds_total_l5_weighted,0.0055519803
star_teammate_out,0.0053203893
position_guard,0.0047772867
season_progress,0.0047543067
points_l5_weighted,0.004649977
games_in_last_7_days,0.0044897175
days_rest,0.0044004866
blocks_l20_weighted,0.004367572
tz_difference,0.0042041047
star_teammate_ppg,0.0040837354
opp_three_pointers_allowed_to_position,0.0040002447
true_shooting_pct_l10,0.0039992137
games_played_season,0.0039932462
reb_rate_l20,0.003966775
blocks_per_36_l20,0.003911357
three_pointers_made_l10_weighted,0.0039095567
rebounds_total_l10,0.0038979375
minutes_played_l10_weighted,0.003879893
rebounds_total_per_36_l20,0.0038049514
turnovers_l20_weighted,0.003775999
blocks_l10_weighted,0.0037447608
points_l20_weighted,0.003672206
three_pointers_made_per_36_l5,0.0035937736
blocks_l5_weighted,0.0035419373
is_starter_l10,0.0035180638
defensive_rating_l10,0.003511676
fg_pct_l10,0.003496322
usage_rate_l10,0.0034890515
days_since_asb,0.0034800202
minutes_played_l20_weighted,0.0034053775
net_rating_l20,0.003393788
true_shooting_pct_l20,0.0033881892
games_in_last_3_days,0.0033881727
games_remaining,0.0033851042
offensive_rating_l20,0.003375488
minutes_played_l5,0.0033345702
points_per_36_l10,0.003328828
points_l10_weighted,0.0033167556
defensive_rating_l20,0.0033146243
steals_l10_weighted,0.0033094545
pts_per_fga_l20,0.0032960258
minutes_played_l10,0.0032930332
three_pointers_made_per_36_l20,0.0032668826
assists_per_36_l20,0.0032606707
defensive_rating_opp,0.0032575456
fg_pct_l20,0.0032392086
usage_rate_l10_weighted,0.0032052598
three_pct_l10,0.0031549733
position_forward,0.003154806
usage_rate_l20_weighted,0.003135846
ft_pct_l5,0.0031067785
opp_field_goal_pct,0.0030956145
turnovers_per_36_l10,0.0030949381
three_pct_l20,0.0030856263
net_rating_l10,0.0030849334
opp_assists_allowed_to_position,0.0030803438
points_per_36_l20,0.0030454912
opp_rebounds_allowed_to_position,0.0030389202
opp_points_allowed_to_position,0.0030241723
opp_position_turnovers_vs_team,0.0030174635
offensive_rating_opp,0.0030141908
steals_per_36_l20,0.0030126793
steals_l20_weighted,0.0030124455
blocks_l20,0.003010122
steals_per_36_l5,0.0030063896
net_rating_l5,0.0030047167
offensive_rating_l10,0.0029887508
true_shooting_pct_l5,0.0029822714
pts_per_fga_l10,0.0029496923
offensive_rating_team,0.0029452043
three_pointers_made_l20_weighted,0.0029442264
pts_per_ast_l20,0.002921484
assists_per_36_l5,0.0029214493
pace_opp,0.0029167011
pace_team,0.0029139193
blocks_l10,0.0028990575
three_pointers_made_l20,0.0028851042
steals_l5_weighted,0.0028738212
turnovers_per_36_l20,0.0028652572
ft_pct_l20,0.0028640674
steals_per_36_l10,0.0028585887
ast_to_ratio_l20,0.0028343813
steals_l20,0.0028134282
games_without_star,0.002811923
blocks_per_36_l5,0.002808602
rebounds_total_per_36_l10,0.0028085462
reb_rate_l10,0.0028056842
fg_pct_l5,0.0028004022
usage_rate_l5_weighted,0.0027990341
minutes_played_l20,0.0027987622
turnovers_l20,0.0027954292
assists_l5_weighted,0.002791014
offensive_rating_l5,0.0027830321
points_per_36_l5,0.0027749334
assists_per_36_l10,0.0027654916
ast_to_ratio_l10,0.0027618045
turnovers_l10,0.0027516468
opp_three_point_pct,0.0027436183
opp_position_steals_vs_team,0.0026904144
turnovers_l10_weighted,0.0026871066
defensive_rating_l5,0.002686274
pts_per_fga_l5,0.0026838654
opp_position_steals_overall,0.0026706445
usage_rate_l20,0.0026575506
points_l10,0.0026549401
minutes_trend,0.0026504488
points_l20,0.002639037
defensive_rating_team,0.002621887
assists_l20_weighted,0.0026208828
three_pointers_made_l5_weighted,0.00261359
opp_blocks_allowed_to_position,0.0025992813
assists_l10_weighted,0.0025570528
opp_team_turnovers_per_game,0.0025479202
ast_to_ratio_l5,0.00253731
rebounds_total_per_36_l5,0.0025147006
arena_altitude,0.0025103383
turnovers_per_36_l5,0.0025007133
is_home,0.0024991187
reb_rate_l5,0.0024924374
three_pointers_made_per_36_l10,0.0024769912
turnovers_l5_weighted,0.0024579947
opp_position_turnovers_overall,0.0024487923
consecutive_games,0.0024407485
ft_pct_l10,0.0024262343
is_mid_season,0.0024156712
pts_per_ast_l5,0.0024142887
pts_per_ast_l10,0.0023982464
three_pct_l5,0.002396154
blocks_per_36_l10,0.0023886
opp_team_steals_per_game,0.0023683794
is_late_season,0.0023346723
assists_l20,0.0023089459
east_to_west,0.0022774586
usage_rate_l5,0.0021770662
rebounds_total_l5,0.0021755262
is_well_rested,0.0021271547
three_pointers_made_l10,0.0020552746
steals_l10,0.001823842
turnovers_l5,0.001734656
assists_l10,0.0017056853
blocks_l5,0.0015936064
steals_l5,0.0014368581
three_pointers_made_l5,0.0012506584
west_to_east,0.0011157425
points_l5,0.0008263277
assists_l5,0.00082130067
is_playoff,0.0
post_asb_bounce,0.0
is_early_season,0.0
is_heavy_schedule,0.0
is_back_to_back,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
altitude_away,0.0
