feature,importance
steals_l20,0.085845284
steals_l20_weighted,0.04123434
minutes_played_l5_weighted,0.036252216
minutes_played_l10_weighted,0.010059959
position_guard,0.0100582
star_teammate_out,0.008649064
assists_l20_weighted,0.008459304
assists_l10_weighted,0.008256685
is_starter_l5,0.008087034
days_since_asb,0.006831287
days_rest,0.0066817543
star_teammate_ppg,0.0066529885
reb_rate_l5,0.006606959
net_rating_l5,0.0065299105
net_rating_l20,0.0064127077
minutes_played_l20_weighted,0.0064110793
is_starter_l10,0.0064104223
assists_l5_weighted,0.0063856943
blocks_l20_weighted,0.0063245227
defensive_rating_l5,0.0062629716
opp_team_steals_per_game,0.0061930832
net_rating_l10,0.0061623217
rebounds_total_l10_weighted,0.006139564
games_remaining,0.006130607
three_pointers_made_l20_weighted,0.0061031776
post_asb_bounce,0.006089654
season_progress,0.0060003917
steals_per_36_l20,0.0059453296
blocks_per_36_l20,0.0059302244
assists_per_36_l20,0.0059164595
defensive_rating_l10,0.005889774
opp_position_steals_vs_team,0.005887237
usage_rate_l20_weighted,0.0058813817
assists_l20,0.0058793696
points_l5_weighted,0.0058699357
turnovers_l10_weighted,0.005849122
rebounds_total_l20_weighted,0.005844168
minutes_trend,0.005828708
assists_l10,0.005826654
assists_per_36_l10,0.005821094
points_l20_weighted,0.005810479
opp_assists_allowed_to_position,0.0057788356
points_l10_weighted,0.005765718
blocks_per_36_l10,0.005764303
pts_per_ast_l20,0.005748601
games_without_star,0.005727091
minutes_played_l20,0.0057249055
opp_rebounds_allowed_to_position,0.005709569
rebounds_total_per_36_l20,0.0057019847
games_played_season,0.005696767
points_per_36_l5,0.0056741377
three_pointers_made_per_36_l10,0.0056663463
steals_l10_weighted,0.0056652124
points_per_36_l20,0.005663362
three_pointers_made_per_36_l20,0.0056467415
tz_difference,0.0056299325
ast_to_ratio_l10,0.00562882
altitude_away,0.0056211106
rebounds_total_l5_weighted,0.0056164744
defensive_rating_l20,0.0055849394
turnovers_per_36_l20,0.0055565387
three_pointers_made_l10_weighted,0.005550074
defensive_rating_opp,0.0055441447
minutes_played_l10,0.005524126
ast_to_ratio_l20,0.0055115977
turnovers_l5_weighted,0.005504284
pts_per_fga_l10,0.0055039558
pts_per_fga_l20,0.0055008414
true_shooting_pct_l20,0.00549622
usage_rate_l10_weighted,0.005492685
pace_team,0.0054873903
blocks_per_36_l5,0.0054796645
blocks_l10_weighted,0.005471659
reb_rate_l20,0.0054660854
offensive_rating_l10,0.0054644803
defensive_rating_team,0.00545396
three_pct_l10,0.005439198
pts_per_ast_l10,0.005438074
steals_per_36_l10,0.005437111
assists_per_36_l5,0.00543277
points_l20,0.005429493
offensive_rating_team,0.0054171085
usage_rate_l20,0.005416433
offensive_rating_l20,0.005412407
pts_per_fga_l5,0.0054086344
steals_l5_weighted,0.005406864
usage_rate_l5_weighted,0.005393661
consecutive_games,0.0053876103
points_per_36_l10,0.005385583
three_pointers_made_per_36_l5,0.005379017
rebounds_total_per_36_l10,0.0053694127
rebounds_total_l20,0.0053576226
steals_per_36_l5,0.005355553
three_pct_l5,0.005355286
turnovers_per_36_l10,0.0053486656
turnovers_per_36_l5,0.005348293
offensive_rating_l5,0.005331265
turnovers_l20_weighted,0.0053286995
three_pct_l20,0.005323921
opp_points_allowed_to_position,0.0053206705
ast_to_ratio_l5,0.0053194654
three_pointers_made_l20,0.0053122574
opp_position_steals_overall,0.005303155
opp_team_turnovers_per_game,0.005293649
ft_pct_l20,0.0052931155
games_in_last_7_days,0.005287933
opp_three_pointers_allowed_to_position,0.005287743
three_pointers_made_l5_weighted,0.0052802516
opp_field_goal_pct,0.005273773
offensive_rating_opp,0.0052546677
fg_pct_l5,0.005244901
usage_rate_l10,0.0052313055
rebounds_total_per_36_l5,0.005226425
opp_three_point_pct,0.0052233194
opp_position_turnovers_vs_team,0.0052220426
true_shooting_pct_l5,0.005216184
blocks_l5_weighted,0.0052070525
fg_pct_l20,0.0051850816
opp_blocks_allowed_to_position,0.0051722783
minutes_played_l5,0.0051658605
opp_position_turnovers_overall,0.005159155
pace_opp,0.005148163
fg_pct_l10,0.005147356
pts_per_ast_l5,0.00514517
west_to_east,0.0051259534
games_in_last_3_days,0.0051173735
east_to_west,0.0051157605
ft_pct_l5,0.005100056
blocks_l20,0.0050801113
ft_pct_l10,0.0050792038
three_pointers_made_l10,0.00506235
turnovers_l20,0.005048519
points_l10,0.005024911
true_shooting_pct_l10,0.005008662
is_mid_season,0.004989893
usage_rate_l5,0.0049562566
arena_altitude,0.004863926
is_home,0.0045810044
rebounds_total_l10,0.0045591034
blocks_l10,0.0044972156
reb_rate_l10,0.004384364
turnovers_l10,0.0043093236
turnovers_l5,0.0042070625
assists_l5,0.0040860767
steals_l10,0.0040502166
rebounds_total_l5,0.0039808652
is_heavy_schedule,0.0039129816
three_pointers_made_l5,0.003901956
position_forward,0.0038508335
points_l5,0.0037812863
position_center,0.0036946896
blocks_l5,0.003308123
steals_l5,0.0032443774
is_well_rested,0.0032263105
is_back_to_back,0.0025939385
is_late_season,0.0
is_early_season,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
is_playoff,0.0
