feature,importance
three_pointers_made_l20_weighted,0.27713245
three_pointers_made_l20,0.048363086
three_pointers_made_l10_weighted,0.019508654
three_pct_l10,0.0099549685
altitude_away,0.009868513
three_pct_l20,0.008983831
tz_difference,0.0077606854
minutes_played_l5_weighted,0.0074540447
three_pct_l5,0.006935085
games_in_last_7_days,0.006367393
star_teammate_ppg,0.0061648274
is_starter_l5,0.006002353
defensive_rating_team,0.005953861
star_teammate_out,0.005853205
is_starter_l10,0.0057779956
games_played_season,0.005689335
opp_assists_allowed_to_position,0.005629665
defensive_rating_opp,0.0055340957
minutes_played_l5,0.0054090144
pts_per_fga_l20,0.0054054107
ft_pct_l20,0.005387055
fg_pct_l10,0.005363742
opp_rebounds_allowed_to_position,0.0053218934
minutes_played_l20_weighted,0.0053073936
minutes_played_l10_weighted,0.0051964717
post_asb_bounce,0.005187375
net_rating_l20,0.005180663
fg_pct_l20,0.005143096
days_rest,0.005132073
is_home,0.0051142722
points_l10_weighted,0.0050121816
three_pointers_made_per_36_l20,0.004997671
true_shooting_pct_l10,0.004962986
net_rating_l10,0.0049612047
usage_rate_l20,0.0049334685
pts_per_fga_l5,0.004911131
defensive_rating_l10,0.004903769
ft_pct_l5,0.0049008247
opp_three_pointers_allowed_to_position,0.004899796
rebounds_total_per_36_l10,0.004886191
ft_pct_l10,0.0048438497
points_per_36_l5,0.00483502
reb_rate_l20,0.0048021576
minutes_played_l20,0.004757162
opp_position_turnovers_overall,0.0047327597
rebounds_total_l5_weighted,0.0047109155
turnovers_per_36_l5,0.0046996223
points_per_36_l20,0.004692792
assists_per_36_l10,0.0046846615
usage_rate_l5_weighted,0.0046842364
blocks_per_36_l5,0.0046798093
true_shooting_pct_l20,0.0046745306
assists_l5_weighted,0.00467171
fg_pct_l5,0.004643239
usage_rate_l10,0.0046407455
minutes_played_l10,0.0046267207
assists_per_36_l20,0.00458113
steals_per_36_l10,0.004562988
turnovers_per_36_l10,0.0045613805
usage_rate_l5,0.004552683
steals_per_36_l20,0.0045440146
assists_l20_weighted,0.0045358166
opp_team_turnovers_per_game,0.004520052
defensive_rating_l5,0.0044974308
opp_field_goal_pct,0.0044951662
rebounds_total_l10_weighted,0.0044933837
turnovers_per_36_l20,0.004471881
games_remaining,0.004468546
three_pointers_made_l5_weighted,0.0044604708
three_pointers_made_l10,0.0044555585
is_well_rested,0.0044538206
turnovers_l10_weighted,0.0044483775
steals_l10_weighted,0.004431193
pts_per_ast_l20,0.004419372
opp_points_allowed_to_position,0.004408539
offensive_rating_opp,0.004399149
points_l20_weighted,0.0043776524
opp_position_steals_vs_team,0.0043328907
opp_blocks_allowed_to_position,0.0043089273
defensive_rating_l20,0.004308125
opp_position_steals_overall,0.004284841
turnovers_l5_weighted,0.004270649
days_since_asb,0.004237314
points_per_36_l10,0.0042344807
blocks_l5_weighted,0.004218921
ast_to_ratio_l20,0.00421678
blocks_l20_weighted,0.0042102262
reb_rate_l10,0.0042100907
three_pointers_made_per_36_l5,0.004209409
three_pointers_made_per_36_l10,0.004170315
steals_l20_weighted,0.0041651065
consecutive_games,0.004164457
offensive_rating_l5,0.004158951
opp_position_turnovers_vs_team,0.004134682
pace_team,0.0041193315
rebounds_total_l20_weighted,0.00411665
games_without_star,0.0041165724
points_l20,0.004110636
rebounds_total_l20,0.0041009635
pts_per_ast_l10,0.004086897
usage_rate_l20_weighted,0.0040766895
offensive_rating_team,0.004067874
pts_per_fga_l10,0.0040591224
ast_to_ratio_l10,0.004045552
rebounds_total_per_36_l20,0.004035998
points_l5_weighted,0.004017008
assists_l10_weighted,0.00400709
minutes_trend,0.003982835
season_progress,0.0039736344
assists_per_36_l5,0.0039702067
points_l10,0.0039632907
usage_rate_l10_weighted,0.0039626956
turnovers_l20_weighted,0.0039396067
opp_team_steals_per_game,0.003936372
arena_altitude,0.0039319573
true_shooting_pct_l5,0.003912727
reb_rate_l5,0.003911468
blocks_per_36_l10,0.0039023524
pts_per_ast_l5,0.0039015748
rebounds_total_per_36_l5,0.0038525572
opp_three_point_pct,0.0038340066
offensive_rating_l10,0.0038292764
pace_opp,0.003814613
net_rating_l5,0.0038062602
blocks_per_36_l20,0.0037801345
steals_l5_weighted,0.0037218141
steals_per_36_l5,0.0036661585
turnovers_l20,0.0036114738
assists_l10,0.0035885812
ast_to_ratio_l5,0.0035812613
position_guard,0.0035511774
blocks_l10_weighted,0.0034388003
turnovers_l10,0.0033526549
offensive_rating_l20,0.0033325776
blocks_l20,0.0033158024
west_to_east,0.0033066713
three_pointers_made_l5,0.0032786992
assists_l20,0.003175385
blocks_l10,0.0028416135
east_to_west,0.0027590904
turnovers_l5,0.0026379004
games_in_last_3_days,0.0026153012
steals_l20,0.0025900933
rebounds_total_l10,0.002499789
steals_l10,0.002416112
assists_l5,0.0021163546
is_mid_season,0.0020123722
blocks_l5,0.002007414
steals_l5,0.0017502538
rebounds_total_l5,0.0016735477
points_l5,0.0011867392
position_forward,0.0
is_heavy_schedule,0.0
position_center,0.0
playoff_games_career,0.0
playoff_performance_boost,0.0
is_back_to_back,0.0
is_late_season,0.0
is_early_season,0.0
is_playoff,0.0
