feature,importance
turnovers_l20_weighted,0.2646914
turnovers_l20,0.11884354
points_l10_weighted,0.023036286
points_l5_weighted,0.018941365
assists_l10_weighted,0.01703471
turnovers_l10,0.01596087
minutes_played_l5_weighted,0.014523545
points_l20_weighted,0.013623299
assists_l5_weighted,0.012026993
assists_l20_weighted,0.0086550275
is_starter_l5,0.0065268027
usage_rate_l20_weighted,0.0062779402
usage_rate_l5,0.006155457
usage_rate_l20,0.0057792137
assists_per_36_l10,0.005716155
opp_team_turnovers_per_game,0.005603412
star_teammate_out,0.0056002093
star_teammate_ppg,0.005475288
games_in_last_3_days,0.0051226784
days_rest,0.0048932657
opp_position_turnovers_vs_team,0.0048517287
rebounds_total_l5_weighted,0.0048226975
points_per_36_l10,0.004809753
assists_l5,0.0047381846
usage_rate_l5_weighted,0.0046340446
usage_rate_l10,0.0045848186
ast_to_ratio_l20,0.004583533
assists_per_36_l20,0.00442092
points_per_36_l5,0.0044076564
usage_rate_l10_weighted,0.004348681
points_per_36_l20,0.0043158866
three_pointers_made_per_36_l20,0.0043054866
turnovers_per_36_l20,0.0042551686
rebounds_total_l20_weighted,0.0042364616
blocks_per_36_l20,0.0042184503
offensive_rating_l10,0.0041554654
three_pointers_made_l20_weighted,0.004128996
defensive_rating_opp,0.0041230945
pts_per_ast_l10,0.004116705
offensive_rating_team,0.0040348577
season_progress,0.0040277354
assists_per_36_l5,0.00399201
offensive_rating_l5,0.003905967
is_well_rested,0.0038938862
pts_per_fga_l10,0.0038787285
games_in_last_7_days,0.0038603118
steals_per_36_l10,0.0038329586
defensive_rating_team,0.0038209863
true_shooting_pct_l10,0.003810057
is_starter_l10,0.003800884
minutes_played_l20_weighted,0.0037973265
rebounds_total_l20,0.0037820116
blocks_l5_weighted,0.0037767573
games_without_star,0.003774546
reb_rate_l10,0.003725992
blocks_l10_weighted,0.0037258829
pts_per_fga_l20,0.0037060902
minutes_trend,0.0036992058
pts_per_ast_l20,0.0036916193
three_pct_l20,0.0036673755
rebounds_total_per_36_l20,0.003662761
ast_to_ratio_l5,0.003615578
rebounds_total_per_36_l10,0.0036138578
minutes_played_l10,0.0035996514
minutes_played_l5,0.003596511
three_pointers_made_per_36_l5,0.0035754559
ast_to_ratio_l10,0.0035710302
opp_three_pointers_allowed_to_position,0.0035673436
fg_pct_l20,0.0035514834
net_rating_l10,0.0035226997
west_to_east,0.0035215723
minutes_played_l10_weighted,0.003514601
steals_per_36_l20,0.0035033636
reb_rate_l20,0.0034917467
games_remaining,0.003443589
offensive_rating_l20,0.0034363165
blocks_l20_weighted,0.003431968
rebounds_total_l10_weighted,0.0034272396
opp_position_turnovers_overall,0.0034218635
is_home,0.0033990885
defensive_rating_l20,0.0033902857
turnovers_per_36_l5,0.003377272
turnovers_per_36_l10,0.0033596484
games_played_season,0.0033518837
opp_assists_allowed_to_position,0.00334796
fg_pct_l10,0.0033273443
days_since_asb,0.0033254453
three_pointers_made_l10_weighted,0.0032985897
opp_field_goal_pct,0.0032978752
opp_three_point_pct,0.0032910104
three_pct_l10,0.003282603
steals_per_36_l5,0.00328
three_pointers_made_per_36_l10,0.003275131
opp_rebounds_allowed_to_position,0.0032563396
fg_pct_l5,0.003249283
true_shooting_pct_l20,0.0032367934
offensive_rating_opp,0.003236592
three_pointers_made_l5_weighted,0.003156776
ft_pct_l20,0.0031511143
net_rating_l20,0.0031473846
steals_l10_weighted,0.0031411757
three_pointers_made_l10,0.0031356942
pace_team,0.0031098886
pts_per_ast_l5,0.0031097962
defensive_rating_l10,0.0030786323
blocks_per_36_l5,0.0030769755
steals_l10,0.0030725638
minutes_played_l20,0.0030613756
opp_position_steals_vs_team,0.0030530326
opp_position_steals_overall,0.0030421284
assists_l10,0.0030284731
three_pct_l5,0.0030172132
blocks_per_36_l10,0.0030095817
pts_per_fga_l5,0.0029993046
net_rating_l5,0.0029718336
defensive_rating_l5,0.0029645697
tz_difference,0.0029608486
arena_altitude,0.0029606093
opp_points_allowed_to_position,0.0029598225
steals_l20_weighted,0.0029581743
turnovers_l10_weighted,0.0029405411
opp_blocks_allowed_to_position,0.0029365278
turnovers_l5_weighted,0.0029312372
ft_pct_l10,0.0029041716
pace_opp,0.0028842008
steals_l5_weighted,0.00284126
true_shooting_pct_l5,0.0028374633
three_pointers_made_l20,0.0028317124
blocks_l20,0.0028169146
points_l20,0.0027817062
ft_pct_l5,0.0027569137
rebounds_total_per_36_l5,0.002672366
blocks_l10,0.0026718809
steals_l20,0.0026150641
is_mid_season,0.0025615534
turnovers_l5,0.0025086184
consecutive_games,0.0025016193
rebounds_total_l10,0.0024437523
opp_team_steals_per_game,0.002435156
points_l5,0.002398266
east_to_west,0.002395108
blocks_l5,0.0022853073
assists_l20,0.0022769095
reb_rate_l5,0.0021949883
post_asb_bounce,0.0021721453
points_l10,0.0021655746
three_pointers_made_l5,0.0019424241
is_back_to_back,0.0017101864
rebounds_total_l5,0.0016969406
steals_l5,0.0013203685
is_playoff,0.0
is_late_season,0.0
is_early_season,0.0
is_heavy_schedule,0.0
playoff_performance_boost,0.0
playoff_games_career,0.0
position_center,0.0
position_forward,0.0
position_guard,0.0
altitude_away,0.0
