iter	RMSE
0	1.452495382
1	1.429187788
2	1.408637222
3	1.391975087
4	1.377616297
5	1.365656139
6	1.355559936
7	1.346836502
8	1.339561794
9	1.333642325
10	1.328310298
11	1.323667208
12	1.319664487
13	1.31603744
14	1.313006815
15	1.310395833
16	1.307670375
17	1.305758814
18	1.30397072
19	1.30184993
20	1.300419721
21	1.299073349
22	1.297527994
23	1.296329803
24	1.295189737
25	1.294116763
26	1.293080922
27	1.292083703
28	1.291270886
29	1.290466039
30	1.289314032
31	1.288730702
32	1.288074247
33	1.287277672
34	1.286726194
35	1.28591226
36	1.285386559
37	1.284708306
38	1.284111633
39	1.283693081
40	1.282944593
41	1.282377617
42	1.281878676
43	1.281286481
44	1.280930702
45	1.280448908
46	1.279887299
47	1.279546836
48	1.279170831
49	1.278885565
50	1.278296931
51	1.277996176
52	1.27758955
53	1.277145167
54	1.276618847
55	1.276380554
56	1.275983567
57	1.275764828
58	1.275318855
59	1.27431194
60	1.274017488
61	1.273480678
62	1.272754858
63	1.272258541
64	1.271814241
65	1.271611669
66	1.271379217
67	1.270788688
68	1.270400701
69	1.270156987
70	1.269830516
71	1.269601839
72	1.269012115
73	1.268772672
74	1.268320402
75	1.267664402
76	1.267390943
77	1.267211385
78	1.267024318
79	1.266863102
80	1.266438455
81	1.266214222
82	1.265917987
83	1.2656414
84	1.265346811
85	1.265181065
86	1.26500557
87	1.264918191
88	1.264693112
89	1.264503235
90	1.264285425
91	1.263925157
92	1.263701679
93	1.263538056
94	1.263419214
95	1.263091995
96	1.262817057
97	1.262497239
98	1.262324628
99	1.261962495
