iter	Passed	Remaining
0	5	555
1	11	562
2	17	567
3	23	553
4	28	547
5	34	534
6	39	523
7	44	515
8	49	503
9	54	492
10	60	486
11	65	481
12	70	472
13	75	464
14	80	453
15	84	445
16	89	436
17	93	427
18	98	420
19	103	414
20	108	409
21	113	403
22	118	397
23	123	390
24	128	385
25	133	379
26	138	373
27	143	367
28	148	363
29	153	357
30	157	350
31	162	345
32	167	341
33	173	336
34	178	331
35	182	324
36	187	319
37	192	313
38	198	309
39	203	305
40	209	300
41	214	295
42	218	290
43	223	284
44	228	279
45	233	274
46	238	269
47	243	263
48	248	258
49	252	252
50	257	247
51	262	242
52	267	237
53	272	232
54	277	227
55	282	222
56	287	216
57	292	211
58	297	207
59	303	202
60	308	197
61	313	192
62	318	187
63	323	181
64	328	176
65	333	171
66	338	166
67	343	161
68	348	156
69	353	151
70	357	146
71	362	141
72	367	135
73	372	130
74	377	125
75	382	120
76	387	115
77	392	110
78	397	105
79	402	100
80	407	95
81	412	90
82	417	85
83	422	80
84	427	75
85	431	70
86	436	65
87	441	60
88	446	55
89	451	50
90	456	45
91	461	40
92	466	35
93	471	30
94	476	25
95	481	20
96	486	15
97	490	10
98	495	5
99	500	0
